Refined_Formal_Name,Original-QID,Second-Query_QID,Original-Refined_Category,Original-Status/Notes,Second-Query_Label,Second-Query_Description,Second-Query_Logic
Interior of Sant'Andrea al Quirinale,,,Work,[Validation] 画作/版画主题 (Panini等)。,,,No results found
Jacopo Pedozzi,,,Person,[Validation] 灰泥艺术家 (18世纪)。,,,No results found
Jacques Duyvelant,,,Person,[Reconstruction] 佛兰芒画家。 | [Validation] 17世纪佛兰芒画家 (Antwerp)。,,,No results found
Jacques Tubeuf,,,Person,[Validation] 收藏家 (Poussin赞助人)。,,,No results found
Jesuit Archives,,,Place/Organization,[Validation] 档案机构。,,,No results found
Johann Adalbert Veith,,,Person,波希米亚/奥地利画家。,,,No results found
"Johann Georg III, Elector of Saxony",,,Person,[Validation] 萨克森选帝侯。,,,No results found
"Johann Wilhelm, Elector Palatinate",,,Person,[Disambiguation] 普法尔茨选帝侯。 | [Validation] 同上。,,,No results found
John Breval,,,Person,[Reconstruction] 英国作家/旅行家。,,,No results found
Joint caricature of Simonelli and Mola,,,Work,[Validation] 讽刺画。,,,No results found
"Juan de Tassis y Peralta, 2nd Count of Villamediana",,,Person,[Full Name] 西班牙诗人/外交官。,,,No results found
"Juno, Goddess of Air",,,Work/Person,[Validation] 寓意画主题。,,,No results found
Jupiter among the Corybantes,,,Work,[Validation] 绘画主题。,,,No results found
Jupiter giving Suck,,,Work,[Validation] 绘画主题 (可能是 Jupiter Suckled by the Goat Amalthea 的误读或变体)。,,,No results found
Jupiter handed over by Cybele to the Corybantes,,,Work,[Validation] 绘画主题。,,,No results found
Jupiter sending down his Thunderbolts,,,Work,[Validation] 绘画主题 (Giulio Romano等)。,,,No results found
Justinus (Historian) / Justin Martyr,,,Person,[Ambiguity] 可能是历史学家查士丁或殉道者查士丁。,,,No results found
King Solomon Bathing,,,Work,"[Validation] 绘画主题 (可能指 Bathsheba?) 需确认。Solomon usually doesn't bathe in art. Maybe ""Bathsheba bathing""? or ""Susanna""?",,,No results found
King's College Library,,,Place,[Validation] 图书馆。,,,No results found
L'Inondazione del Tevere,,,Work,[Validation] 画作标题。,,,No results found
L'Osservatore Veneto,,,Work,[Category Fix] 报刊名（Gozzi 等人创办）。,,,No results found
"La Beata Vergine in Egitto, e S. Giuseppe",,,Work,[Validation] 绘画主题。,,,No results found
La Burla del Piovano Arlotto,,,Work,[Validation] 画作标题 (Volterrano/Giovanni da San Giovanni)。,,,No results found
La Chiesa di Gesù Cristo vendicata...,,,Work,[Validation] 书籍标题。,,,No results found
La Galleria di Minerva,,,Work,"[OCR Fix] ""Minervat VI"" -> ""Minerva, t. VI"" (期刊/丛书)。",,,No results found
La rissa all'Ambasciata di Spagna,,,Work,[Validation] 绘画主题 (The Brawl at the Spanish Embassy)。,,,No results found
Labia Collection,,,Organization/Group,[Category Fix] 原文误标为 Man-Made Object。,,,No results found
Le Arti che vanno per via nella città di Venezia,,,Work,[Validation] Zompini 版画集 (Venetian Cries)。,,,No results found
Le Fabbriche e Vedute di Venetia,,,Work,[Validation] Carlevarijs 版画集。,,,No results found
Leonardo Pasqueti,,,Person,[Validation] 人物。,,,No results found
Leonardo Pasquetti,,,Person,,,,No results found
Leonardo Pesaro,,,Person,[Validation] 威尼斯贵族。,,,No results found
Leonardo Valmarana,,,Person,[Validation] 贵族。 | 帕拉迪奥的赞助人。,,,No results found
Leto turning the Shepherds into Frogs,,,Work,[Validation] 绘画主题。,,,No results found
Lita-Rose Betcherman,,,Person,[Validation] 作家/历史学家 (Balthasar Gerbier)。,,,No results found
Lodovico Gabrielli,,,Person,"[OCR Fix] ""Gabrieli"" -> ""Gabrielli"" (可能)。也有可能是 Lodovico Gabriel。",,,No results found
Lodovico Rezzonico,,,Person,[Validation] 威尼斯贵族 (Procuratore)。,,,No results found
Lorenzo del Rosso,,,Person,[Validation] 建筑师。,,,No results found
Luca Bartolotti,,,Person,[Validation] 人物。,,,No results found
Luca Ombrosi,,,Person,[Validation] 18世纪佛罗伦萨作家 (Life of Gian Gastone)。,,,No results found
Lucchese Community,,,Group,[Category Fix] 原文误标为 Place。,,,No results found
Lucien Marcheix,,,Person,[Validation] 历史学家 (19世纪)。,,,No results found
Luigi Teodoli,,,Person,[Validation] 建筑师? 或客户。,,,No results found
M. de Bordeaux,,,Person,[Validation] 人物 (法国外交官?)。,,,No results found
Marchands-amateurs,,,Concept,[Category Fix] 原文误标为 Man-Made Object。指“业余艺术商”这一特定历史群体/概念。,,,No results found
Marchese Raggi,,,Person,可能是 Lorenzo Raggi 或该家族成员（如 Bernini 的赞助人），保留头衔。,,,No results found
Marchese Ruspoli,,,Person,[Category Fix] 原文误标为 Man-Made Object。Francesco Maria Ruspoli 等。,,,No results found
Marchigian town,,,Place,泛指马尔凯大区的城镇。,,,No results found
Marguerite Calberg,,,Person,"[Full Name] ""Melle""即Mlle，比利时纺织/艺术史学者。",,,No results found
Maria Elena Ghelli,,,Person,,,,No results found
Maria Pamphilj,,,Person,[Spelling Fix] 标准化拼写为 Pamphilj (Olimpia Maidalchini 的女儿等)。,,,No results found
Mario D'Orsi,,,Person,现代艺术评论家/学者。,,,No results found
Mark Samuel Weil,Q125296744,,Person,现代艺术史学家（巴洛克雕塑研究）。,,,No results found
Marriage Allegory of the Rezzonico Family,,,Work,[Category Fix] 提埃坡罗在 Ca' Rezzonico 的天顶画。,,,No results found
Martirii patiti dai Santi Martiri per la confessione di Cristo,,,Work,[Typo Fix] 书籍/版画集标题，安东尼奥·坦佩斯塔（Tempesta）等人的作品。,,,No results found
Martyrdom of Saint John the Bishop,,,Work,[Category Fix] 可能是 Bergamo 的 Tiepolo 画作（St John of Bergamo）。,,,No results found
María Antonieta Gatas,,,Person,"[OCR Fix] ""Mar赤a"" -> ""María""。Gatas 可能是 Gallas 或类似拼写，保留原词待查，或是现代学者名。",,,No results found
Matteo da Città di Castello,,,Person,[Reconstruction] 文艺复兴建筑师。,,,No results found
Matteo del Teglia,,,Person,托斯卡纳外交官/代理人。,,,No results found
Mattia Rosichino,,,Person,[Disambiguation] 17世纪巴贝里尼宫画廊的管理者（guardaroba）和导览手册作者。,,,No results found
Medici Villa of Poggio a Caiano,,,Place,美第奇别墅。,,,No results found
Mercury awaking Aeneas,,,Work,[Category Fix] 画作主题（如提埃坡罗作品）。,,,No results found
Michele Lauretano,,,Person,17世纪耶稣会士（Collegio Romano 院长）。,,,No results found
Mina Pajes Merriman,,,Person,艺术史学家（Giuseppe Maria Crespi 专家）。,,,No results found
Mississippi Gallery,,,Organization,[Context] 需结合具体语境，可能是现代博物馆（Mississippi Museum of Art）或误读。,,,No results found
Modello for the Apotheosis of St Ignatius,,,Work,[Category Fix] 波佐（Andrea Pozzo）的草稿。,,,No results found
Modello for the Glory of St Aloysius Gonzaga,,,Work,[Category Fix] 波佐的草稿。,,,No results found
Mola painting the portrait of Pope Alexander VII,,,Work,[Category Fix] 乔瓦尼·巴蒂斯塔·高利（Baciccio）或 Mola 的画作。,,,No results found
Monsieur de Saint-Sauveur,,,Person,[Context] 可能是法国外交官或相关人物。,,,No results found
Monsignor Olivieri,,,Person,可能是 Fabio Olivieri (红衣主教) 等。,,,No results found
Monument to Doge Giovanni Pesaro,,,Work,[Category Fix] 位于 Frari 教堂的陵墓雕塑。,,,No results found
Monument to Pope Gregory XV,,,Work,[Category Fix] 墓葬雕塑（如 Le Gros 的作品）。,,,No results found
Monument to the 1st Duke of Marlborough,,,Work,[Category Fix] 里斯伯勒（Rysbrack）在布伦海姆宫的作品。,,,No results found
Moses Trampling on Pharaoh's Crown,,,Work,"[Typo Fix] ""Pharoah"" -> ""Pharaoh""。普桑等人的画作主题。",,,No results found
Mostra dei Remondini,,,Event,[Category Fix] 1958年在巴萨诺举办的重要展览。,,,No results found
Mostra del Tiepolo,,,Event,[Category Fix] 1971年在乌迪内举办的提埃坡罗大展。,,,No results found
Mourners at Tomb of Francesco Algarotti in Pisa,,,Work,[Category Fix] 特定画作或版画主题。,,,No results found
Mucius Scaevola at the Altar,,,Work,[Category Fix] 穆齐奥·斯凯沃拉历史画主题。,,,No results found
Murals at Windsor Castle,,,Work,[Category Fix] 温莎城堡壁画（如 Verrio 的作品）。,,,No results found
Murals for the Vienna Residence,,,Work,[Category Fix] 可能是指列支敦士登宫或其他维也纳宫殿壁画。,,,No results found
Museo della Torre di San Marco,,,Organization,[Category Fix] 可能是特定的小型博物馆，需确认具体城市。,,,No results found
Napoleonic government,,,Organization,[Context] 指拿破仑统治时期的政府机构。,,,No results found
Naudaeana,,,Work,[Category Fix] 加布里埃尔·诺德（Gabriel Naudé）的语录集。,,,No results found
Nepotism in Rome,,,Concept,[Category Fix] 历史现象/概念。,,,No results found
Neptune Paying Homage to Venice,,,Work,[Category Fix] 提埃坡罗在公爵宫的画作。,,,No results found
Nero being shown the Corpse of Seneca,,,Work,[Category Fix] 历史画主题。,,,No results found
Niccolò Melanconici,,,Person,"[OCR Fix/Typo] ""辰""应为""ò""。姓氏可能是 Menghini (雕塑家) 或 Melchiorri 的误拼。",,,No results found
Nicola del Rosso,,,Person,,,,No results found
Officium Beatae Mariae Virginis,,,Work,[Validation] 圣母日课 (手稿/书)。,,,No results found
Oratory/Church of Santa Cecilia (Bologna),,,Place,[Validation] 博洛尼亚教堂。,,,No results found
Orazio Marucelli,,,Person,佛罗伦萨参议员/贵族。,,,No results found
Oriental Customs,,,Work,[Category Fix] 书籍或版画集标题。,,,No results found
Oriental Heads,,,Work,[Category Fix] 提埃坡罗或Castiglione的版画系列。,,,No results found
Original proposals for reclaiming Prato della Valle,,,Work,"[OCR Fix] ""Pr角 de?a Va?e"" -> ""Prato della Valle"" (帕多瓦河谷草地广场)。",,,No results found
Osvaldo Böhm Photograph Collection,,,Work,"[OCR Fix] ""B?hm"" -> ""Böhm""。摄影收藏。",,,No results found
Ottavio Novaroli,,,Person,"17世纪人物（可能是神职人员）。 | [Duplicate] 同 Novaroli, P. Octavio。",,,No results found
"Où sont des pasteurs, des bergères et des moutons",,,Work,"[OCR Fix] ""O迄"" -> ""Où"", ""berg豕res"" -> ""bergères""。画作描述/标题。",,,No results found
P. Carlo de' Conti Lodoli Veneziano forse il Socrate Architetto,,,Work,[OCR Fix] 书籍/版画标题，指卡洛·洛多利。,,,No results found
Padre Massimo,,,Person,可能是指 Camillo Massimi 或其他修道士。,,,No results found
Paintings for the Church in Salamanca,,,Work,[Category Fix] 特定委托作品（如提埃坡罗等）。,,,No results found
Palazzo Buonaccorsi Art Collection,,,Concept,[Category Fix] 收藏概念。,,,No results found
Palazzo Taddeo,,,Place,[Verification] 可能是指 Palazzo Taddei (Florence) 或其他具体宫殿。,,,No results found
Palazzo Zenobio,,,Place,[Category Fix] 威尼斯宫殿。,,,No results found
Paola Berselli Ambri,,,Person,现代学者（文学/历史）。,,,No results found
Paolo Maccarani,,,Person,,,,No results found
Patron-artist relationship,,,Concept,,,,No results found
Pendentive Frescoes of the Church of the Gesù,,,Work,"[OCR Fix] ""Ges迄"" -> ""Gesù""。高利（Baciccio）的壁画。",,,No results found
Philippe Zygodon,,,Person,[Verify] 可能是现代人名或笔名，Zygodon 也是一种苔藓。待确认是否为 OCR 错误。,,,No results found
Pierre Motteux and his Family,,,Work,[Category Fix] 画作（可能是 Giovanni Antonio Pellegrini 的作品）。,,,No results found
Pietro Antonio Toni,,,Person,,,,No results found
Pietro Zuccoli,,,Person,,,,No results found
Pinacoteca Nazionale di Lucca,,,Organization,[Category Fix] 卢卡国立美术馆。,,,No results found
"Pope Pius V, St Thomas Aquinas, and St Vincent Ferrer",,,Work,[Category Fix] 画作主题。,,,No results found
Portrait of Field Marshal Schulenburg,,,Work,[Category Fix] 帕尼尼或瓜尔迪等人的画作。,,,No results found
Portrait of Madame Rosenberg,,,Work,[Category Fix] 可能是 Orsini-Rosenberg 伯爵夫人，Giustiniani 曾为其作画。,,,No results found
Portrait of Streit's Father,,,Work,[Category Fix] Sigismund Streit 的相关画作。,,,No results found
Portrait of Streit's Mother,,,Work,[Category Fix],,,No results found
Portrait of Streit's Sister,,,Work,[Category Fix],,,No results found
Portrait of the Queen of Prussia,,,Work,[Category Fix] 可能是 Pesne 的画作。,,,No results found
Portraits of Venetian Cardinals,,,Work,[Category Fix] 系列画作。,,,No results found
Portraits of Venetian Popes,,,Work,[Category Fix] 系列画作。,,,No results found
Portraits of the Doges of Venice,,,Work,[Category Fix] 总督宫的官方肖像系列。,,,No results found
Presenzini Cigoli,,,Person,[Ambiguous] 可能是 Lodovico Cigoli 的作品在 Presenzini 处，或是 OCR 误读。暂作 Person。,,,No results found
Prices paid to artists,,,Concept,[Category Fix] 经济史概念。,,,No results found
Prince Peretti,,,Person,Peretti 家族亲王（如 Francesco Peretti）。,,,No results found
Prince Pio di Savoia,,,Person,,,,No results found
Princess of Rossano,,,Person,Olimpia Aldobrandini 的头衔之一。,,,No results found
Procuratore Canale,,,Person,[Validation] 官衔+姓氏。,,,No results found
Prospero Pesci,,,Person,"18世纪博洛尼亚画家。 | [OCR Fix] ""Gasparo Prospero"" -> ""Prospero""? Prospero Pesci 是罗马画家。Gasparo 可能是误加。",,,No results found
Provincial centres of art patronage,,,Concept,[Category Fix],,,No results found
Publishers in Venice,,,Group,[Category Fix] 职业群体。,,,No results found
Quadri che rappresentano fatti della Sacra Scrittura,,,Work,"[OCR Fix] ""Quadi"" -> ""Quadri""。指描绘圣经故事的画作系列。",,,No results found
Queen Jezebel Being Punished by Jehu,,,Work,[Category Fix] 耶洗别之死（Luca Giordano 等人画作）。,,,No results found
Raccolta di centododici stampe...,,,Work,[Category Fix] 版画集（如瓦萨里、提埃坡罗等作品集）。,,,No results found
Raphael Loggias,,,Place,梵蒂冈拉斐尔回廊。,,,No results found
Reception of Landscapes,,,Concept,[Category Fix] 原文误标为 Person。,,,No results found
Relief of Field Marshal Schulenburg,,,Work,[Category Fix] 舒伦堡元帅的浮雕像（Corradini 作）。,,,No results found
Religion Overthrowing Heresy,,,Work,[Category Fix] Le Gros 的雕塑或画作主题。,,,No results found
Religious Decorations at Whitehall,,,Work,[Category Fix] 鲁本斯的天顶画或詹姆斯二世时期的装饰。,,,No results found
Remondini family,,,Group,[Category Fix] 著名的巴萨诺印刷家族。,,,No results found
Ritratto con cristallo,,,Work,"[OCR Fix/Hypothesis] ""aistallo"" -> ""cristallo"" (Portait with a crystal)? 或其他物体。待查特定画作。",,,No results found
Robert Alexander Waller Fund,,,Organization,[Category Fix] 芝加哥艺术博物馆的基金。,,,No results found
Rococo Pavilion,,,Place,[Context] 可能是宁芬堡的 Amalienburg 等。,,,No results found
Rosalba Lorenzetti,,,Person,现代学者/图书管理员。,,,No results found
Ruins of the Church of the Cross,,,Work,[Category Fix] 可能是 Pannini 或 Hubert Robert 的画作。,,,No results found
Sacrifices to Priapus,,,Work,[Category Fix] 祭祀普里阿普斯的主题。,,,No results found
Samson Slaying a Thousand with the Jawbone of an Ass,,,Work,[Category Fix] 艺术主题。,,,No results found
San Niccolò al Lido,,,Place,威尼斯利多岛教堂。,,,No results found
Saverio Savini,,,Person,,,,No results found
Scenes from the Life of Scipio Africanus,,,Work,[Category Fix] 历史画系列。,,,No results found
Scenes of Christian Warfare,,,Work,[Category Fix] 可能是圣战或十字军主题画作。,,,No results found
Scenes of Venetian Noble Life,,,Work,[Category Fix] Pietro Longhi 或 Guardi 的风俗画。,,,No results found
School of Carlo Cignani,,,Group,[Category Fix] 艺术流派/工作室。,,,No results found
Schönborn family,,,Group,"[OCR Fix] ""Sch?nborn"" -> ""Schönborn""。德国贵族家族。",,,No results found
Sculptures for the Cathedral,,,Work,[Category Fix] 泛指，需结合具体教堂。,,,No results found
Scuola Grande dei Carmini / Carità?,,,Place,"[Ambiguity] ""Carita"" 可能是 ""Santa Maria della Carità"" (威尼斯学院美术馆前身)。",,,No results found
Sebastiano Marcotti,,,Person,17世纪版画家（活跃于那不勒斯）。 | [Duplicate],,,No results found
Sebastiano Molino,,,Person,可能是 Sebastiano Molina (画家) 或 Molin 家族成员。,,,No results found
Self-Portrait as Winter,,,Work,[Category Fix] 罗萨尔巴·卡列拉的色粉画。,,,No results found
Series of Egyptian Figures,,,Work,[Category Fix] 可能是 Piranesi 的装饰设计。,,,No results found
Series of Etruscan Phallic Symbols,,,Work,[Category Fix] 考古绘图或收藏。,,,No results found
Service de Documentation Photographique des Musées Nationaux,,,Organization,[Category Fix] 法国博物馆影像中心（RMN）。,,,No results found
Servizio particolare,,,Concept,"[Category Fix] ""Specific Service"" (Diplomatic or artistic commission)。",,,No results found
Sheila Rinehart,,,Person,艺术史学家。,,,No results found
Silvia Meloni Trkulja,,,Person,现代艺术史学家（佛罗伦萨专家）。,,,No results found
Sketch for Venus at the Forge of Vulcan,,,Work,[Category Fix] 提埃坡罗或 Boucher 的草图。,,,No results found
Social position of the artist,,,Concept,[Category Fix] 社会史概念。,,,No results found
Social significance of painting,,,Concept,[Category Fix] 研究主题。,,,No results found
Social status of artists,,,Concept,[Validation] 艺术史研究主题。,,,No results found
Soderini family,,,Group,佛罗伦萨家族。,,,No results found
Soprintendenza alle Gallerie,,,Organization,[Category Fix] 意大利文物监管机构。,,,No results found
Spanish patronage,,,Concept,[Category Fix],,,No results found
St Stanislaus Kostka on his Deathbed,,,Work,[Category Fix] Le Gros 的著名雕塑。,,,No results found
Stamperia Albrizzi,,,Organization,[Category Fix] 威尼斯印刷厂。 | [Category Fix] 威尼斯著名出版商 Albrizzi。,,,No results found
State Inquisition,,,Organization,"[OCR Fix] ""Squidition"" -> ""Inquisition""。威尼斯国家宗教裁判所/特务机构。",,,No results found
Statue of Field Marshal Schulenburg,,,Work,[Category Fix] 科拉迪尼的作品（科孚岛）。 | [Duplicate] 同 3582。,,,No results found
Statue of Hercules killing the Hydra,,,Work,[Category Fix] 古代雕塑修复（Algardi 等）。,,,No results found
Statues of the Apostles (Lateran),,,Work,[Category Fix] 拉特朗大殿的使徒像系列（Rusconi 等）。,,,No results found
Status-seeking (Concept),,,Concept,[Validation] 社会学/艺术史概念。,,,No results found
Stefano Sagredo,,,Person,,,,No results found
Stoicism in 17th century,,,Concept,[Category Fix] 哲学思潮。,,,No results found
Strada Emanuele,,,Place,可能是马耳他或意大利某地街道。,,,No results found
Strength protecting Wisdom,,,Work,[Category Fix] 提埃坡罗的画作。,,,No results found
Study for the Fountain of the Four Rivers,,,Work,[Validation] 贝尼尼作品草图。,,,No results found
Sulla maniera di Zorzone,,,Work,"[Category Fix] ""On the manner of Giorgione"" (Title/Concept)。",,,No results found
Tarantella Dancers,,,Work,[Category Fix] 可能是专门描绘塔兰泰拉舞的画作或版画。,,,No results found
Tavole Barberini,,,Work,[Category Fix] Fra Carnevale 的著名画板（现分藏纽约和波士顿）。,,,No results found
Teodora dal Pozzo,,,Person,Cassiano dal Pozzo 的女儿/继承人。,,,No results found
Teresa Maria Marcellino,,,Person,[Verify] 可能是 Teresa Maria Marcolini (歌手) 或其他名字的误读。,,,No results found
The Adoration of the Mystic Lamb,,,Work,[Category Fix] 根特祭坛画（凡·艾克）。,,,No results found
The Arrival at the Palace,,,Work,[Category Fix] 可能是 Carpaccio 圣乌苏拉系列或其他叙事画。,,,No results found
The Assumption of St Aloysius Gonzaga,,,Work,[Category Fix] Guercino 等人的画作。,,,No results found
The Capture of Syracuse with the Death of Archimedes,,,Work,[Category Fix],,,No results found
The Death of St Francis Xavier,,,Work,[Category Fix] Baciccio 或 Maratti 的画作。,,,No results found
The Ecstasy of Saint Margaret of Cortona,,,Work,[Category Fix] Lanfranco 的画作。,,,No results found
The Emperor Augustus Closing the Doors of the Temple of Janus,,,Work,[Category Fix] Carlo Maratti 的画作。,,,No results found
The Four Continents paying homage to Karl Philip von Greiffenklau,,,Work,[Category Fix] 提埃坡罗在 Würzburg 的天顶画。,,,No results found
The Glorification of the Trinity with the Adoration of the Instruments of Passion,,,Work,[Category Fix] 可能是特定祭坛画。,,,No results found
The Glory of Saint Aloysius Gonzaga,,,Work,[Category Fix] Guercino 或 Pozzo 的作品。,,,No results found
The Glory of St Dominic,,,Work,[Category Fix] Guido Reni 或 Piazzetta 的画作。,,,No results found
The Infant Jupiter handed over by Cybele to the Corybantes,,,Work,"[OCR Fix] ""befed"" -> ""be fed""。",,,No results found
The Institution of the Rosary,,,Work,[Category Fix] 提埃坡罗等人的画作。,,,No results found
The Life of Saint Ursula,,,Work,[Category Fix] Carpaccio 的著名系列画作。,,,No results found
The Power of Eloquence,,,Work,[Category Fix] 提埃坡罗在 Würzburg 的天顶画局部或寓意画。,,,No results found
The Rehearsal of an Opera,,,Work,[Category Fix] Marco Ricci 的画作。,,,No results found
The Revolt of Masaniello,,,Work,[Category Fix] 原文误标为 Person。指描绘该事件的画作（Spadaro/Cerquozzi）。,,,No results found
The Sala Grande of the Ridotto (Palazzo Dandolo),,,Place,"[OCR Fix] ""S. Mois豕"" -> ""San Moisè""。威尼斯著名的赌场大厅。",,,No results found
The Stoning of Zechariah,,,Work,[Category Fix],,,No results found
The Three Angels Visiting Abraham,,,Work,[Category Fix] 提埃坡罗等。,,,No results found
The Virgin Giving the Habit to Saint Teresa,,,Work,[Category Fix],,,No results found
The War between the Romans and the Sabines,,,Work,[Category Fix] 历史画。,,,No results found
Third Colonnade for St. Peter's Square,,,Work,[Category Fix] 贝尼尼的未建设计方案。,,,No results found
"Three Dominican Saints: Vincent, Hyacinth and Lawrence",,,Work,[Category Fix] 提埃坡罗在Gesuati的画作 (The Virgin Appearing to St. Dominic...) 的相关部分或独立画作。,,,No results found
Three Portraits of Dogs,,,Work,[Category Fix] Guercino 或其他画家的作品。,,,No results found
Tiberio Roberti,,,Person,18-19世纪巴萨诺贵族，卡诺瓦的朋友。,,,No results found
Tiepolo's Etchings,,,Work,[Category Fix] 提埃坡罗版画集 (Capricci/Scherzi)。,,,No results found
Titles granted to artists,,,Concept,[Category Fix] 社会史概念。,,,No results found
Twelve Watercolors of Venetian Women,,,Work,[Category Fix] Grevembroch 或其他人的风俗画册。,,,No results found
Two Baskets of Fruit and Flowers,,,Work,[Category Fix] 静物画。,,,No results found
Ufficio dell'Assessore Comunale alle Belle Arti,,,Organization,[Category Fix] 市政艺术办公室。,,,No results found
Uffizi / Pitti (Gallerie Fiorentine),,,Place,[Validation] 佛罗伦萨美术馆统称。,,,No results found
Un trionfo d'armi,,,Work,[Category Fix] 可能是 Flaminio Torri 的画作。,,,No results found
Valerio Antonio Zarzabini,,,Person,[Validation] 人物。,,,No results found
Valerio Vanetti,,,Person,,,,No results found
Venetian artists in 18th-century Paris,,,Group,[Category Fix] 群体/概念。,,,No results found
Venetian artists in Madrid,,,Group,[Category Fix] 原文误标为 Person (群体概念)。,,,No results found
Venetian artists in St Petersburg,,,Group,[Category Fix] 艺术群体。,,,No results found
Venetian painting in Moscow,,,Concept,[Category Fix] 指“莫斯科的威尼斯绘画收藏”这一概念/主题。,,,No results found
Ventura Carrara,,,Person,,,,No results found
Ventura Furlani,,,Person,,,,No results found
Ventura Rossi,,,Person,建筑师/画家。,,,No results found
Venus Leaving the Bath,,,Work,[Category Fix] 布歇、提香等。,,,No results found
Via de' Giubbonari,,,Place,罗马街道。,,,No results found
View of Venice: The Doge's Palace,,,Work,[Category Fix] Canaletto 或 Guardi 的画作。,,,No results found
Vigilia di San Pietro,,,Event,[OCR/Category Fix] 圣彼得节前夜（威尼斯节日），常为画作主题。,,,No results found
Villa Altichiero,,,Place,[Validation] 威尼斯Querini家族别墅。,,,No results found
Vincenzo Radicchio,,,Person,,,,No results found
Vincenzo da Canal,,,Person,威尼斯贵族/艺术史学家（《Vita di Gregorio Lazzarini》作者）。,,,No results found
Virgin Protecting the City of Spoleto,,,Work,[Category Fix] 祭坛画。,,,No results found
Viterbo / Moroni,,,Place/Person,"[Split Required] 错误合并。Viterbo (地点), Gaetano Moroni (作家)。",,,No results found
William Chandler Kirwin,,,Person,艺术史学家。,,,No results found
"William Cowper, 1st Earl Cowper / The Cowper Madonna?",,,Person/Work,"[Ambiguity] 若为画作 ""Cowper Madonna"" (Raphael) 则为 Work。若为人名，则是收藏家。根据 E22 标记，可能是画作 (The Small Cowper Madonna / The Niccolini-Cowper Madonna)。建议：The Cowper Madonna。",,,No results found
Wirich Philipp von Daun / Leopold Joseph von Daun,,,Person,[Disambiguation] 奥地利元帅。,,,No results found
Woman Playing a Musical Instrument,,,Work,[Category Fix] 风俗画。,,,No results found
Women Washing their Laundry at a Fountain,,,Work,[Category Fix] Robert 或 Boucher 画作。,,,No results found
Würzburg Residence Frescoes,,,Work,[Validation] 提埃坡罗代表作。,,,No results found
Youth Rescued from the Pleasures of Venus,,,Work,[Category Fix] 寓意画（Pietro da Cortona）。,,,No results found
Zenobio family,,,Group,威尼斯贵族。,,,No results found
