实体1,QID,关系,实体2,QID.1
乌尔班八世,Q131579,委派,弗朗切斯科·巴尔贝里尼,Q2662344
乌尔班八世,Q131579,委派,弗朗切斯科·巴尔贝里尼,Q2662344
乌尔班八世,Q131579,叔叔,弗朗切斯科·巴尔贝里尼,Q2662344
乌尔班八世,Q131579,任命,弗朗切斯科·巴尔贝里尼,Q2662344
乌尔班八世,Q131579,委托,弗朗切斯科·布拉乔利尼,Q322022
弗朗西斯科·阿尔加罗蒂,Q439081,委托,弗朗切斯科·德·穆拉,Q1441279
阿伦德尔勋爵,Q3784947,邀请,弗朗切斯科·法内利,Q3749954
查尔斯一世,Q3044,委托,弗朗切斯科·法内利,Q3749954
纽卡斯尔公爵,Q273809,委托,弗朗切斯科·法内利,Q3749954
安东尼奥·扎塔,Q3313574,雇佣,弗朗切斯科·丰特巴索,Q447991
安德里亚·梅莫,Q1052776,认识,弗朗切斯科·瓜尔迪,Q318769
安吉洛·奎里尼,Q536447,认识,弗朗切斯科·瓜尔迪,Q318769
弗朗西斯科·阿尔加罗蒂,Q439081,评价,弗朗切斯科·蒙蒂,Q1283256
麦克斯威尼,Q5102690,邀请,弗朗切斯科·蒙蒂,Q1283256
麦克斯威尼,Q5102690,委托,弗朗切斯科·蒙蒂,Q1283256
欧文·麦克斯维尼,Q5102690,委托,弗朗切斯科·蒙蒂,Q1283256
安吉洛·奎里尼,Q536447,结识,弗朗切斯科·米利齐亚,Q323009
安德里亚·梅莫,Q1052776,委托,弗朗切斯科·皮拉内西,Q336028
安吉洛·奎里尼,Q536447,委托,弗朗切斯科·皮拉内西,Q336028
维森蒂尼,Q605690,批评,弗朗切斯科·皮拉内西,Q336028
约瑟夫·史密斯,Q476702,认识,弗朗切斯科·皮拉内西,Q336028
弗朗西斯科·阿尔加罗蒂,Q439081,认识,弗朗切斯科·扎诺蒂,Q2739963
阿尔布里兹,Q21748854,赞助,弗朗切斯科·祖卡雷利,Q919093
安东尼奥·玛丽亚·扎内蒂,Q944948,赞助,弗朗切斯科·祖卡雷利,Q919093
扎内蒂,Q944948,赞助,弗朗切斯科·祖卡雷利,Q919093
卡西亚诺·达尔·波佐,Q1048333,赞助,弗朗索瓦·德克斯诺伊,Q960381
约瑟夫·史密斯,Q476702,认识,弗朗西丝·维维安,Q76180855
卡洛·洛多利,Q601642,喜爱,弗朗西斯·培根,Q37388
詹巴蒂斯塔·帕斯夸里,表中无ID,朋友,弗朗西斯科·阿尔贝加蒂·卡帕内利,Q371439
约瑟夫·史密斯,Q476702,认识,弗朗西斯科·阿尔加罗,Q439081
约瑟夫·史密斯,Q476702,结识,弗朗西斯科·阿尔加罗,Q439081
P·J·马里埃特,Q322344,通信,弗朗西斯科·阿尔加罗蒂,Q439081
安东尼奥·孔蒂,Q2087202,影响,弗朗西斯科·阿尔加罗蒂,Q439081
奥古斯都三世,Q53438,雇用,弗朗西斯科·阿尔加罗蒂,Q439081
腓特烈大帝,Q33550,授封,弗朗西斯科·阿尔加罗蒂,Q439081
卡洛·洛多利,Q601642,影响,弗朗西斯科·阿尔加罗蒂,Q439081
约瑟夫·史密斯,Q476702,认识,弗朗西斯科·阿尔加罗蒂,Q439081
安东尼奥·德格里·埃菲蒂,表中无ID,委托,弗朗西斯科·阿勒格里尼,Q44101021
布克哈特,Q3166189,赠书,弗朗西斯科·巴尔贝里尼,Q2662344
帕加尼诺·高登齐,Q2046132,通信,弗朗西斯科·巴尔贝里尼,Q2662344
乌尔班八世,Q131579,任命,弗朗西斯科·巴尔贝里尼,Q2662344
乌尔班八世,Q131579,提拔,弗朗西斯科·巴尔贝里尼,Q2662344
朱利奥·马扎林,Q166056,门徒,弗朗西斯科·巴尔贝里尼,Q2662344
因诺森特十世,Q101266,赞助,弗朗西斯科·博罗米尼,Q123150
费迪南德大公,Q465178,支持,弗朗西斯科·加布里,Q3339580
费迪南德大公,Q465178,委托,弗朗西斯科·雷蒂,Q311187
费迪南德大公,Q465178,学习,弗朗西斯科·雷蒂,Q311187
彼得罗·莫斯基尼,表中无ID,记录,弗朗西斯科·玛吉奥多,Q3080993
马菲奥·皮内利,Q56006855,交往,弗朗西斯科·玛吉奥多,Q3080993
多米尼科·维万特·德农,Q468618,学生,弗朗西斯科·诺维利,表中无ID
多米尼科·维万特·德农,Q468618,影响,弗朗西斯科·诺维利,表中无ID
斯泰尔斯先生,表中无ID,赞助,弗朗西斯科·斯莱特,Q5479579
詹姆斯·布莱吉斯,Q333238,雇用,弗朗西斯科·斯莱特,Q5479579
弗朗西斯科·阿尔加罗蒂,Q439081,委托,弗朗西斯科·索利梅纳,Q736065
皮埃特罗·奥托博尼,Q101294,邀请,弗朗西斯科·索利梅纳,Q736065
塞巴斯蒂亚诺·孔卡,Q774781,师从,弗朗西斯科·索利梅纳,Q736065
奥托博尼,Q101294,委托,弗朗西斯科·特雷维萨尼,Q963875
皮埃特罗·奥托博尼,Q101294,委托,弗朗西斯科·特雷维萨尼,Q963875
皮埃特罗·奥托博尼,Q101294,赞助,弗朗西斯科·特雷维萨尼,Q963875
马歇尔·舒伦伯格,Q70910,委托,弗朗西斯科·西蒙尼尼,Q3081094
奥古斯特三世,Q53438,委托,弗朗西斯科·祖卡雷利,Q919093
巴勒蒂,Q741900,赞扬,弗朗西斯科·祖卡雷利,Q919093
老安东·玛丽亚·扎内蒂,Q944948,赞扬,弗朗西斯科·祖卡雷利,Q919093
乔瓦尼·巴蒂斯塔·比菲,Q16559762,崇拜,弗朗西斯科·祖卡雷利,Q919093
乔治三世,Q53438,委托,弗朗西斯科·祖卡雷利,Q919093
塞缪尔·约翰逊,Q183266,赞扬,弗朗西斯科·祖卡雷利,Q919093
史密斯领事,Q476702,委托,弗朗西斯科·祖卡雷利,Q919093
约瑟夫·史密斯,Q476702,委托,弗朗西斯科·祖卡雷利,Q919093
罗萨尔巴·卡列拉,Q237726,结识,弗勒盖尔斯,Q3340864
腓特烈·卡尔,Q67281,继任,弗雷德里克·卡尔,表中无ID
卡尔·菲利普·冯·格里芬克劳,Q95296,继任,弗雷德里克·卡尔,表中无ID
安德里亚·梅莫,Q1052776,访问,伏尔泰,Q9068
安吉洛·奎里尼,Q536447,拜访,伏尔泰,Q9068
安吉洛·奎里尼,Q536447,崇敬,伏尔泰,Q9068
弗朗西斯科·阿尔加罗蒂,Q439081,结识,伏尔泰,Q9068
弗兰西斯·哈斯克尔,Q320477,感谢,佛朗哥·文图里,表中无ID
安吉洛·奎里尼,Q536447,崇拜,福基翁,Q175942
洛多维科·雷佐尼科,表中无ID,结婚,福斯蒂娜·萨沃格南,表中无ID
弗朗西斯科·阿尔加罗蒂,Q439081,评价,富尔维奥·德斯蒂,Q594614
费迪南德大公,Q465178,委托,富米亚尼,Q1432600
弗朗西斯科·巴尔贝里尼,Q2662344,保护,伽利略,Q307
卡洛·洛多利,Q601642,喜爱,伽利略,Q307
卡西亚诺,Q1048333,支持,伽利略,Q307
卡西亚诺·达尔·波佐,Q1048333,通信,伽利略,Q307
费迪南德大公,Q465178,支持,盖拉尔迪尼,Q327785
克莱门特十一世,Q129967,任命,盖齐,Q429072
萨沃伊尤金大公,Q610738,委托,盖塔诺·芬蒂,Q372889
安东尼奥·玛丽亚·扎内蒂,Q944948,雇佣,盖塔诺·佐皮尼,Q3757163
安东尼奥·玛丽亚·扎内蒂,Q944948,赞助,盖塔诺·佐皮尼,Q3757163
安东尼奥·玛丽亚·扎内蒂(老),Q944948,雇佣,盖塔诺·佐皮尼,Q3757163
安东尼奥·扎塔,Q3313574,雇佣,盖塔诺·佐皮尼,Q3757163
安东尼奥·玛丽亚·扎内蒂(老),Q944948,委托,盖伊,Q321660
卡尔·古斯塔夫·泰辛,Q1038496,委托,盖伊,Q321660
泰辛伯爵,Q1038496,支持,盖伊,Q321660
奥利瓦,Q1229189,委托,高利,Q520573
吉安·保罗·奥利瓦,Q1229189,委托,高利,Q520573
科尼利厄斯·德·威尔,Q251131,交易,高利,Q520573
克里斯蒂娜女王,Q52937,委托,高利,Q520573
佩莱格里诺·佩里,表中无ID,雇用,高利,Q520573
皮埃特罗·奥托博尼,Q101294,雇佣,高利,Q520573
枢机主教巴罗尼奥,Q317900,指导,高利,Q520573
吉安·保罗·奥利瓦,Q1229189,继任,高斯文·尼克尔,Q532591
彼得罗·隆吉,Q447058,影响,戈尔多尼,Q165534
加斯帕罗·高兹,Q1232502,捍卫,戈尔多尼,Q165534
卡洛·高兹,Q263270（不确定·）,批评,戈尔多尼,Q165534
路易吉·梅尔基奥里,Q94259803,批评,戈尔多尼,Q165534
约瑟夫·史密斯,Q476702,结识,戈尔多尼,Q165534
约瑟夫·史密斯,Q476702,认识,格拉德尼戈,Q723300（不确定）
路易斯·德·诺阿耶,Q1349502,聘请,格雷戈里奥·德·法拉利,Q2306932
费迪南德大公,Q465178,赞助,格雷戈里奥·拉扎里尼,Q1384461
乌尔班八世,Q131579,继承,格里高利十五世,Q132692
吉安·保罗·奥利瓦,Q1229189,雇用,古格利尔莫·博尔戈尼奥内,Q1366347
克里斯蒂娜女王,Q52937,女儿,古斯塔夫·阿道夫斯,Q52938
克里斯蒂娜女王,Q52937,继承,古斯塔夫·阿道夫斯,Q52938
乔瓦尼·维安内洛,表中无ID,赞赏,瓜尔迪,Q318769
斯特兰奇,表中无ID,雇用,瓜尔迪,Q318769
斯特兰奇,表中无ID,雇用,瓜尔迪,Q318769
阿德莱德·恩里凯塔,Q2825471,招募,瓜里诺·瓜里尼,Q323281
菲利普四世,Q691402,委托,圭多·雷尼,Q109061
弗朗切斯科·巴尔贝里尼,Q2662344,欢迎,圭多·雷尼,Q109061
弗朗西斯科·阿尔加罗蒂,Q439081,赞赏,圭多·雷尼,Q109061
弗朗西斯科·阿尔加罗蒂,Q439081,欣赏,圭多·雷尼,Q109061
曼图亚公爵,Q714792,委托,圭多·雷尼,Q109061
曼图亚公爵,Q714792,奖赏,圭多·雷尼,Q109061
乌尔班八世,Q131579,赞助,圭多·雷尼,Q109061
乌尔班八世,Q131579,委托,圭多·雷尼,Q109061
雅克·库尔图瓦,Q1366347,认识,圭多·雷尼,Q109061
查尔斯一世,Q3044,邀请,圭尔奇诺,Q334262
菲利普四世,Q691402,委托,圭尔奇诺,Q334262
卢多维科·卢多维西,Q707750,赞助,圭尔奇诺,Q334262
弗朗西斯科·阿尔加罗蒂,Q439081,委托,哈科波·阿米格尼,Q380897
弗朗西斯科·阿尔加罗蒂,Q439081,通信,海因里希·冯·布鲁尔,Q214949
乔万尼·玛利亚·萨索,Q56007029,联系,威廉·汉密尔顿,Q15462
弗朗西斯科·阿尔加罗蒂,Q439081,认识,汉斯·波斯,Q95937
弗朗西斯科·阿尔加罗蒂,Q439081,认识,赫维勋爵,表中无ID
詹姆斯·布莱吉斯,Q333238,雇用,亨德尔,Q7302
亚森特·里戈,Q49898,绘制,亨利·本廷克,Q126107
弗朗西斯科·阿尔加罗蒂,Q439081,评价,亨利三世,Q53448
马菲奥·巴尔贝里尼,Q131579,拜访,亨利四世,Q936976
玛丽·德·美第奇,Q182021,妻子,亨利四世,Q936976
罗萨尔巴·卡列拉,Q237726,结识,华托,Q183221
马歇尔·舒伦伯格,Q70910,认识,怀特,表中无ID
约瑟夫·史密斯,Q476702,款待,霍拉斯·沃尔波尔,Q309903
马歇尔·舒伦伯格,Q70910,雇佣,吉安·安东尼奥·瓜尔迪,Q318769
查尔斯·德·诺耶尔,Q657169,继任,吉安·保罗·奥利瓦,Q1229189
法比奥·奇吉,Q127254,任命,吉安·彼得罗·贝洛里,Q714400
弗朗西斯科·安杰罗尼,Q1102576,监护人,吉安·彼得罗·贝洛里,Q714400
卡洛·马拉塔,Q538998,咨询,吉安·彼得罗·贝洛里,Q714400
卡洛·马拉塔,Q538998,请教,吉安·彼得罗·贝洛里,Q714400
克里斯蒂娜,Q52937,任命,吉安·彼得罗·贝洛里,Q714400
克里斯蒂娜女王,Q52937,任命,吉安·彼得罗·贝洛里,Q714400
尼古拉斯·普桑,Q41554,影响,吉安·彼得罗·贝洛里,Q714400
尼古拉斯·特纳,Q110243718,研究,吉安·彼得罗·贝洛里,Q714400
朱塞佩·基亚里,Q3107986,咨询,吉安·彼得罗·贝洛里,Q714400
阿马德奥·斯瓦杰,德国商人，无ID,联系,吉安·多梅尼科·蒂耶波洛,Q435316
费迪南德大公,Q465178,兄弟,吉安·加斯托内,Q256580
彼得罗·贝尔尼尼,Q712397,协助,吉安·洛伦佐·贝尔尼尼,Q160538
弗兰西斯·哈斯克尔,Q320477,感谢,吉安弗兰科·托切兰,Q85836470
科斯塔贾蒂侯爵,表中无ID,认可,吉安南德雷亚·卡洛恩,Q3106993
内格罗尼主教,Q3105203,委托,吉安南德里亚·卡洛恩,Q3106993
阿曼德·巴歇特,Q2861762,研究,吉多·本提沃利奥,Q1364155
枢机主教鲍格才,Q452570,雇佣,吉多·本提沃利奥,Q1364155
罗萨尔巴·卡列拉,Q237726,结识,吉尔斯玛丽·奥本诺特,Q958293
安吉洛·奎里尼,Q536447,挚友,吉罗拉莫·阿斯卡尼奥·朱斯蒂尼亚尼,Q91013224
安吉洛·奎里尼,Q536447,纪念,吉罗拉莫·阿斯卡尼奥·朱斯蒂尼亚尼,Q91013224
安吉洛·奎里尼,Q536447,同伴,吉罗拉莫·费斯塔里,Q55227570
安吉洛·奎里尼,Q536447,同行,吉罗拉莫·费斯塔里,Q55227570
安吉洛·奎里尼,Q536447,结交,吉罗拉莫·费斯塔里,Q55227570
弗朗西斯科·阿尔加罗蒂,Q439081,通信,吉罗拉莫·库尔,表中无ID
亚历山德罗·法尔内塞,Q248459,委托,吉罗拉莫·穆扎亚诺,Q1333792
亚历山德罗·法尔内塞,Q248459,雇用,吉罗拉莫·穆扎亚诺,Q1333792
弗朗西斯科·阿尔加罗蒂,Q439081,通信,吉罗拉莫·扎内蒂,Q27478552
因诺森特十世,Q101266,赞助,吉罗莫拉·拉伊纳尔迪,Q1418631
伊波利托·贝维拉瓜,Q54141108,研究,吉马贝蒂诺·奇纳罗利,Q327262
弗朗西斯科·阿尔加罗蒂,Q439081,认识,吉诺·福戈拉里,Q19357545
教皇克莱门特十一世,Q129967,雇佣,吉亚科莫·特瑞迦,Q5879238
弗兰西斯·哈斯克尔,Q320477,感谢,加埃塔诺·科齐,Q13380449
费迪南德大公,Q465178,派遣,加比亚尼,Q1083096
加布里埃尔·诺德,Q710176,合作,加布里埃尔·达尔·波佐,Q107060274
加布里埃尔·诺德,Q710176,题词,加布里埃尔·达尔·波佐,Q107060274
加布里埃尔·诺德,Q710176,评论,加布里埃尔·达尔·波佐,Q107060274
加布里埃尔·诺德,Q710176,拜访,加布里埃尔·达尔·波佐,Q107060274
约翰·威廉选帝侯,Q64266,委托,加布里埃尔·格鲁佩罗,Q1489831
布克哈特,Q3166189,合作,加布里埃尔·诺德,Q710176
帕加尼诺·高登齐,Q2046132,合作,加布里埃尔·诺德,Q710176
卡西亚诺·达尔·波佐,Q1048333,通信,加莱佐·阿科纳托,Q47009360
费迪南德大公,Q465178,支持,加里尔蒂,Q3953755
洛伦佐·奥诺弗里奥,Q3837032,雇佣,加斯帕德·杜格,Q741375
杨·范·登·艾因登,Q99237902,合伙,加斯帕尔·如莫尔,Q3098722
洛伦佐·奥诺弗里奥·科隆纳,Q3837032,委托,加斯帕尔德·杜格,Q741375
奥古斯都二世,Q53437,雇用,加斯帕雷·迪齐亚尼,Q744250
奥古斯都二世,Q53437,雇用,加斯帕雷·迪齐亚尼,Q744250
弗雷德里克·奥古斯都一世,Q53444,雇用,加斯帕雷·迪齐亚尼,Q744250
皮埃特罗·奥托博尼,Q101294,雇佣,加斯帕雷·迪齐亚尼,Q744250
弗朗西斯科·阿尔加罗蒂,Q439081,认识,加斯帕雷·帕特里奇,表中无ID
卡洛·洛多利,Q601642,影响,加斯帕罗·高兹,Q1232520
弗朗西斯科·巴尔贝里尼,Q2662344,委托,贾恩·洛伦佐·贝尔尼尼,Q160538
克里斯蒂娜女王,Q52937,赞助,贾恩·洛伦佐·贝尔尼尼,Q160538
乌尔班八世,Q131579,赞助,贾恩·洛伦佐·贝尔尼尼,Q2662344
亚历山大七世,Q127254,赞助,贾恩·洛伦佐·贝尔尼尼,Q160538
阿方索·杰苏阿尔多,Q1373399,聘请,贾科·德拉·波塔,Q1623328
奥古斯特三世,Q53438,委托,贾科莫·阿米戈尼,Q380897
迪特里希,Q536581,继任,贾科莫·阿米戈尼,Q380897
弗朗西斯科·阿尔加罗蒂,Q439081,委托,贾科莫·阿米戈尼,Q380897
弗朗西斯科·阿尔加罗蒂,Q439081,委托,贾科莫·阿米戈尼,Q380897
弗朗西斯科·阿尔加罗蒂,Q439081,委托,贾科莫·阿米戈尼,Q380897
弗朗西斯科·阿尔加罗蒂,Q439081,评价,贾科莫·阿米戈尼,Q380897
克莱门斯·奥古斯特,Q215086,雇用,贾科莫·阿米戈尼,Q380897
克莱门斯·奥古斯特,Q215086,雇佣,贾科莫·阿米戈尼,Q380897
马克西米利安三世·约瑟夫·维特尔斯巴赫,Q57841,赞助,贾科莫·阿米戈尼,Q380897
斯泰尔斯先生,表中无ID,赞助,贾科莫·阿米戈尼,Q380897
斯泰尔斯先生,表中无ID,雇佣,贾科莫·阿米戈尼,Q380897
坦克维尔勋爵,Q5075537,接待,贾科莫·阿米戈尼,Q380897
西吉斯蒙德·施特赖特,Q90687,认识,贾科莫·阿米戈尼,Q380897
西吉斯蒙德·施特赖特,Q90687,委托,贾科莫·阿米戈尼,Q380897
萨沃伊尤金大公,Q610738,委托,贾科莫·安东尼奥·博尼,Q1053697
彼得罗·贝尔尼尼,Q712397,拒绝,贾科莫·博尔戈尼奥内,Q1366347
古格利尔莫·博尔戈尼奥内,Q1366347,协助,贾科莫·博尔戈尼奥内,Q1366347
古列尔莫·博尔戈尼奥内,Q1366347,兄弟,贾科莫·博尔戈尼奥内,Q1366347
吉安·保罗·奥利瓦,Q1229189,委托,贾科莫·博尔戈尼奥内,Q1366347
米开朗基罗·塞阔齐,Q979862,鼓励,贾科莫·博尔戈尼奥内,Q1366347
萨尔瓦多·罗萨,Q359421,批评,贾科莫·博尔戈尼奥内,Q1366347
雅克·库尔图瓦,Q1366347,别称,贾科莫·博尔戈尼奥内,Q1366347
克里斯蒂娜女王,Q52937,委托,贾科莫·德拉·波塔,Q175566
安德里亚·梅莫,Q1052776,朋友,贾科莫·卡萨诺瓦,Q83321
安德里亚·梅莫,Q1052776,询问,贾科莫·卡萨诺瓦,Q83321
安德里亚·梅莫,Q1052776,通信,贾科莫·卡萨诺瓦,Q83321
安德里亚·梅莫,Q1052776,结识,贾科莫·卡萨诺瓦,Q83321
安德里亚·梅莫,Q1052776,结交,贾科莫·卡萨诺瓦,Q83321
安德里亚·梅莫,Q1052776,咨询,贾科莫·卡萨诺瓦,Q83321
尤西比奥,Q104804972,结交,贾科莫·卡萨诺瓦,Q83321
约瑟夫·史密斯,Q476702,认识,贾科莫·卡西尼,表中无ID
斯泰尔斯先生,表中无ID,雇用,贾科莫·莱昂尼,Q721253
马歇尔·舒伦伯格,Q70910,委托,贾科莫·瑟鲁蒂,Q524248
马扎林,Q166056,雇用,贾科莫·托雷利,Q357872
弗朗西斯科·阿尔加罗蒂,Q439081,认识,贾曼巴蒂斯塔·比菲,Q16559762
费迪南德大公,Q465178,支持,贾钦托·布兰迪,Q1748199
安德里亚·奥蒂尼,表中无ID,委托,贾辛托·布兰迪,Q1748199
萨尔瓦多·罗萨,Q359421,交好,贾辛托·布兰迪,Q1748199
托马斯·伊舍姆爵士,Q16848721,委托,贾辛托·布兰迪,Q1748199
朱利奥·罗斯皮廖西,Q155961,成为,教皇克莱门特九世,Q155961
卡洛·雷佐尼科,Q133121,担任,教皇克莱门特十三世,Q133121
乔瓦尼·弗朗切斯科·阿尔巴尼,Q129967,成为,教皇克莱门特十一世,Q129967
法比奥·奇吉,Q127254,成为,教皇亚历山大七世,Q127254
卡米洛·帕姆菲利,Q2935138,侄子,教皇因诺森特十世,Q101266
詹巴蒂斯塔·帕姆菲利,表中无ID,成为,教皇因诺森特十世,Q101266
教皇克莱门特十一世,Q129967,继任,教皇因诺森特十一世,Q129967
迪特里希,Q536581,效力,卡尔·菲利普·冯·格里芬克劳,Q95296
安东尼奥·玛丽亚·扎内蒂,Q944948,朋友,卡尔·古斯塔夫·泰辛,Q1038496
安东尼奥·玛丽亚·扎内蒂(老),Q944948,结识,卡尔·古斯塔夫·泰辛,Q1038496
费迪南德大公,Q465178,赞助,卡尔·罗思,Q670135
埃克塞特勋爵五世,表中无ID,委托,卡尔洛·多尔奇,Q503322
托马斯·贝恩斯爵士,表中无ID,委托,卡尔洛·多尔奇,Q503322
约翰·芬奇,Q6233132,委托,卡尔洛·多尔奇,Q503322
萨沃伊尤金大公,Q610738,委托,卡尔洛·卡洛恩,Q1041995
马歇尔·舒伦伯格,Q70910,雇佣,卡尔洛·西格纳尼,Q239980
德尔·蒙特,Q140106,影响,卡拉瓦乔,Q42207
吉安·彼得罗·贝洛里,Q714400,谴责,卡拉瓦乔,Q42207
卡西亚诺·达尔·波佐,Q1048333,收藏,卡拉瓦乔,Q42207
路易吉·斯佩扎费罗,Q19754023,研究,卡拉瓦乔,Q42207
马尔凯塞·朱斯蒂尼亚尼,Q1396468,收藏,卡拉瓦乔,Q42207
马菲奥·巴尔贝里尼,Q131579,委托,卡拉瓦乔,Q42207
枢机主教德尔·蒙特,Q140106,赞助,卡拉瓦乔,Q42207
瓦伦丁,Q1337275,引荐,卡拉瓦乔,Q42207
维琴佐·朱斯蒂尼亚尼,Q25206732,赞助,卡拉瓦乔,Q42207
文森佐·古斯蒂尼阿尼,Q25206732,评论,卡拉瓦乔,Q42207
亚历山德罗·维特里切,Q4716445,委托,卡拉瓦乔,Q42207
安东尼奥·孔蒂,Q2087202,结识,卡勒斯伯爵,表中无ID
弗朗西斯科·阿尔加罗蒂,Q439081,认识,卡罗·洛多利,Q601642
弗朗西斯科·阿尔加罗蒂,Q439081,认识,卡罗·帕莱塞,Q124360716
欧文·拉文,Q19753933,驳斥,卡罗琳娜·兰科伦斯卡,Q468466
加布里埃尔·达尔·波佐,Q107060274,儿子,卡洛·安东尼奥·达尔·波佐,Q3659007
詹巴蒂斯塔·帕斯夸里,表中无ID,朋友,卡洛·安东尼奥·皮拉蒂,Q3658875
乌尔班八世,Q131579,任命,卡洛·巴尔贝里尼,Q1186836
西吉斯蒙德·施特赖特,Q90687,认识,卡洛·丹妮娜,Q556342
路易吉·博凯里尼,Q189766,兄弟,卡洛·德·罗西,表中无ID
萨尔瓦多·罗萨,Q359421,合作,卡洛·德·罗西,表中无ID
萨尔瓦多·罗萨,Q359421,赠画,卡洛·德·罗西,表中无ID
萨尔瓦多·罗萨,Q359421,争执,卡洛·德·罗西,表中无ID
孔戴·文图拉·卡拉拉,表中无ID,委托,卡洛·夸里斯梅尼,表中无ID
菲利波·法尔塞蒂,Q16556042,堂兄弟,卡洛·雷佐尼科,Q133121
阿巴特·法西奥拉蒂,Q3157640,友好,卡洛·洛多利,Q601642
安德里亚·梅莫,Q1052776,学生,卡洛·洛多利,Q601642
安德里亚·梅莫,Q1052776,出版,卡洛·洛多利,Q601642
安德里亚·梅莫,Q1052776,尊敬,卡洛·洛多利,Q601642
安德里亚·梅莫,Q1052776,赞颂,卡洛·洛多利,Q601642
安德里亚·梅莫,Q1052776,师从,卡洛·洛多利,Q601642
安吉洛·奎里尼,Q536447,学生,卡洛·洛多利,Q601642
安吉洛·奎里尼,Q536447,出版,卡洛·洛多利,Q601642
安吉洛·奎里尼,Q536447,尊敬,卡洛·洛多利,Q601642
安吉洛·奎里尼,Q536447,学习,卡洛·洛多利,Q601642
安吉洛·奎里尼,Q536447,崇拜,卡洛·洛多利,Q601642
安吉洛·奎里尼,Q536447,师从,卡洛·洛多利,Q601642
菲利波·法尔塞蒂,Q16556042,尊敬,卡洛·洛多利,Q601642
卡纳莱托,Q182664,结识,卡洛·洛多利,Q601642
维森蒂尼,Q605690,结识,卡洛·洛多利,Q601642
维特鲁威,Q47163,影响,卡洛·洛多利,Q601642
亚历山德罗·隆吉,Q1855242,绘制,卡洛·洛多利,Q601642
詹巴蒂斯塔·帕斯夸里,表中无ID,敬佩,卡洛·洛多利,Q601642
霍华德·希巴德,Q12020451,研究,卡洛·马德诺,Q122328
枢机主教佩雷蒂蒙塔尔托,Q133350,聘请,卡洛·马德诺,Q122328
安东尼奥·巴尔贝里尼,Q599744,委托,卡洛·马拉塔,Q538998
安东尼奥·巴尔贝里尼,Q599744,转向,卡洛·马拉塔,Q538998
安东尼奥·德格里·埃菲蒂,表中无ID,委托,卡洛·马拉塔,Q538998
安东尼奥·德格里·埃菲蒂,表中无ID,委托,卡洛·马拉塔,Q538998
