Refined_Formal_Name,Count,Refined_Category,Original_Entry,Status/Notes
Sant'Andrea al Quirinale,4,Place,Church of Sant'Andrea al Quirinale | S. Andrea | Sant'Andrea al Quirinale | St. Andrew's Temple Church,[Ambiguous] 可能是 Quirinale 或 Della Valle，视语境。 | [Category Fix] 原文误标为 Work。贝尼尼建筑。 | [Context] 可能是指 Quirinale 的 Jesuit Novitiate church。 | 罗马教堂（贝尼尼）。
"Abel-François Poisson, marquis de Marigny",3,Person,"Abel-Fran?ois Poisson de Vandières | Marigny, Marquis de | Vandi豕res, Marquis de...","[OCR Fix] ""Vandi豕res"" -> ""Vandières""。Marigny侯爵。 | [OCR Fix] 修正 ""?"" 为 ""ç""。庞巴杜夫人的弟弟，艺术总监。 | 蓬帕杜夫人的弟弟，法国皇家建筑总监。"
Johann Matthias von der Schulenburg,3,Person,"Johann Matthias von der Schulenburg | Marshal Schulenburg | Schulenburg, Marshal Johann Matthias",[Category Fix] 威尼斯共和国元帅，重要的艺术收藏家。 | [Validation] 陆军元帅/威尼斯收藏家。 | 威尼斯元帅，重要收藏家。
Camillo Astalli,3,Person,"Astalli (Pamfili), Camillo | Camillo Astalli | Pamfili (Astalli), Camillo",[Disambiguation] 卡米洛·阿斯塔利枢机。 | [Validation] 枢机主教。 | 曾被 Pamphilj 家族收养的红衣主教 (Cardinal-Nephew)。
Clemens August of Bavaria,3,Person,"Clemens August of Bavaria | Clemens August, Archbishop-Elector of Cologne | Kufürst Clemens August",[Category Fix] 原文误标为 Man-Made Object。科隆选帝侯。 | [Category Fix] 原文误标为 Work。 | [Validation] 科隆选帝侯。
Gaspard Dughet,3,Person,"Dughet, Gaspard (Gaspard Poussin) | Gaspard Dughet | Poussin, Gaspard",[Validation] 画家。 | [Validation] 风景画家。 | 别名 Gaspard Poussin，风景画家。
George I of Great Britain,3,Person,"George I of Great Britain | George I, King of England | King George I",[Category Fix] 原文误标为 Man-Made Object。 | [Validation] 同上。 | [Validation] 英国国王。
Giovanni Maria Sasso,3,Person,G.M. Sasso | Giovanni Maria Sasso | Giuseppe Maria Sasso,[Correction] 威尼斯画商 Sasso 通常名为 Giovanni Maria。可能是误记。 | [Disambiguation] 威尼斯画商/修复师。 | [Validation] 威尼斯画商。
Gregory XV,3,Person,"Alessandro Ludovisi | Gregory XV | Ludovisi, Alessandro (Pope Gregory XV)",[Disambiguation] 亚历山德罗·卢多维西 (教皇格里高利十五世)。 | [Disambiguation] 教皇格里高利十五世。 | [Validation] 教皇格里高利十五世。
"Grey Brydges, 5th Baron Chandos",3,Person,"Brydges, Grey | Chandos, Grey Brydges, 5th Lord | Grey Brydges, 5th Baron Chandos","[Disambiguation] ""King of the Cotswolds""。 | [Validation] 英国贵族。 | [Validation] 贵族。"
Innocent X,3,Person,"Giovanni Battista Pamphilj | Innocent X, Pope | Pamfili, Gianbattista (Pope Innocent X)",[Disambiguation] 教皇英诺森十世。 | [Validation] 教皇。 | 教皇英诺森十世。
Jan van den Eynde,3,Person,"Jan van den Eynde | Vandeneynde, Jan | den Einden, Jan van",[Validation] 那不勒斯佛兰芒商人/收藏家 (Ferdinand van den Eynde的兄弟/亲戚)。 | 佛兰芒建筑师/商人，活跃于那不勒斯。 | 佛罗伦萨/那不勒斯富商/收藏家。
John Udny,3,Person,"John Fullarton Udny | Udney, John | Zuane Udni","[Dialect/OCR] 威尼斯方言 ""Zuane"" = Giovanni = John; ""Udni"" = Udny (Consul John Udny)。 | [Spelling Fix] 英国驻威尼斯领事 (Consul Udny)。 | [Validation] 英国驻威尼斯/里窝那领事 (收藏家)。"
Archivio di Stato di Venezia (Sezione Notarile),3,Organization,"Sezione Notarile, Venice | Venice Notarial Section | Venice-Sezione Notarile",[Category Fix] | [Category Fix] 威尼斯国家档案馆公证处。
"Louis Phélypeaux, marquis de La Vrillière",3,Person,"La Vrillière, Louis Phélipeaux de | Louis Phélypeaux de La Vrillière | Vrilliere",[Category Fix] 原文误标为 Place。法国国务大臣，著名收藏家。 | [Validation] 法国政治家/收藏家。 | [Validation] 法国政治家。
Monsieur de Blainville,3,Person,"Blainville | Blainville, Monsieur de | Jean Armand de Blainville",[Disambiguation] 旅行家 (著有Travels)。 | [Disambiguation] 旅行记作者 (可能化名)。 | [Validation] 同上。
Nicolas-Claude Fabri de Peiresc,3,Person,"Nicolas-Claude Fabri de Peiresc | Peiresc, Nicolas-Claude-Fabri de | Provencal antiquary Peiresc",[Category Fix] 原文误标为 Place。Peiresc 是普罗旺斯人。 | nan | 著名的学者和古董收藏家。
San Giorgio Maggiore,3,Place,Church of San Giorgio Maggiore | S. Giorgio Maggiore | San Giorgio Monastery,[Validation] 威尼斯教堂。 | 威尼斯修道院。 | 威尼斯教堂（帕拉迪奥）。
Santa Maria della Concezione dei Cappuccini,3,Place,Capuchin church in Rome | S.Maria della Concezione | Santa Maria della Concezione...,[Disambiguation] 罗马嘉布遣会教堂。 | 罗马嘉布遣会教堂。 | 罗马骨骸寺。
Santa Maria di Nazareth (Scalzi),3,Place,Santa Maria degli Scalzi | Santa Maria di Nazareth Basilica | Scalzi,[Category Fix] 威尼斯赤足教堂（通常简称 Scalzi）。 | 威尼斯赤足教堂。
Scuola Grande di San Rocco,3,Organization,"San Rocco, Scuola di | Scuola Grande di San Rocco | Scuola di San Rocco",[Duplicate] 同上。 | 威尼斯圣罗格大会堂。 | 威尼斯圣罗格大会堂（丁托列托）。
The Rape of the Sabine Women,3,Work,Rape of the Sabine Women | Rape of the Sabines | The Rape of the Sabine Women,[Category Fix] | [Category Fix] 普桑、詹博洛尼亚作品。 | [Category Fix] 萨宾妇女的劫夺。
Biblioteca del Museo Correr,3,Organization,Biblioteca Correr | Correr Library | Museo Correr Library,[Category Fix] 博物馆图书馆。 | [Validation] 威尼斯图书馆。
Henriette Adelaide of Savoy,3,Person,"Henriette Adelaide of Savoy | Princess Henriette Adelaide of Savoy | Savoy, Adelaide Enrichetta of",[Validation] 巴伐利亚选帝侯夫人。 | 巴伐利亚选帝侯夫人。
Anna Maria Luisa de' Medici,2,Person,"Anna Maria Luisa de' Medici | Medici, Anna Maria Ludovica de'...",[Validation] 美第奇家族最后一位直系成员。 | 普法尔茨选帝侯夫人，美第奇家族最后一位直系成员。
Martino Longhi the Elder,2,Person,"Longhi, Martino, the Elder | Martino Longhi",[Validation] 建筑师。 | 建筑师老马蒂诺·朗吉。
Michiel Sweerts,2,Person,"Michiel Sweerts | Sweerts, Michael",佛兰芒巴洛克画家。 | 佛兰芒画家。
Michele Giustiniani,2,Person,"Giustiniani, Abbate Michele | Michele Giustiniani",17世纪作家。 | [Reconstruction] 历史学家/作家。
Michelangelo,2,Person,Michelangelo | Michelangelo di Lodovico Buonarroti Simoni,[Merge Candidate] 米开朗基罗全名。 | 米开朗基罗。
"Maximilian II Emanuel, Elector of Bavaria",2,Person,"Max Emmanuel, Elector of Bavaria | Maximilian, Prince, Elector of Bavaria",[Merge Candidate] 指向 Max Emmanuel。 | 巴伐利亚选帝侯。
Mauro Antonio Tesi,2,Person,"Mauro Antonio Tesi | Tesi, Mauro",18世纪博洛尼亚画家和建筑师。 | 别名 Maurino。
Mattia de' Rossi,2,Person,"Mattia de Rossi | Rossi, Mattia de'",建筑师（贝尼尼学生）。 | 建筑师，贝尼尼的学生和助手。
Matthäus Daniel Pöppelmann,2,Person,"Matth?us Daniel P?ppelmann | P?ppelmann, Matthes Daniel","[OCR Fix] ""P?ppelmann"" -> ""Pöppelmann""。德累斯顿建筑师。 | [OCR Fix] 乱码修复。德累斯顿茨温格宫的建筑师。"
Massimiliano Soldani Benzi,2,Person,"Massimiliano Soldani Benzi | Soldani, Massimiliano",佛罗伦萨雕塑家/章牌师。 | 佛罗伦萨雕塑家和章牌制作者。
Masaniello,2,Person,Masanella | Masaniello,"[OCR/Typo Fix] 极可能是 ""Masaniello""（那不勒斯渔民起义领袖）的误拼。 | 托马索·阿涅洛（Tommaso Aniello），那不勒斯起义领袖。"
Martino Longhi the Younger,2,Person,"Longhi, Martino, the Younger | Martino Longhi the Younger",[Validation] 建筑师。 | 建筑师小马蒂诺·朗吉。
Mario Nuzzi,2,Person,"Mario Nuzzi | Nuzzi, Mario (Mario de' Fiori)","别名 ""Mario dei Fiori""，以画花卉著称。 | 别名 Mario dei Fiori，花卉画家。"
Ludovico Antonio Muratori,2,Person,"Ludovico Antonio Muratori | Muratori, L. A.",[Validation] 历史学家/学者。 | 意大利历史学家。
Mario Minniti,2,Person,"Mario Minniti | Minitti, Mario","[OCR Fix] ""Minitti"" -> ""Minniti""。卡拉瓦乔的朋友/模特。 | 卡拉瓦乔的朋友和模特，西西里画家。"
Mario Chigi,2,Person,"Chigi, Don Mario (brother to Pope Alexander VII) | Mario Chigi",[Reconstruction] 教皇兄弟。 | 基吉家族成员（如教皇亚历山大七世的兄弟）。
Marie de' Medici,2,Person,"Marie de' Medici | Medici, Marie de",法国玛丽·德·美第奇王后。
Marie Thérèse Rodet Geoffrin,2,Person,"Geoffrin, Mme | Marie Th谷r豕se Rodet Geoffrin",[Disambiguation] 著名沙龙女主人。 | [OCR Fix] 乱码修复。若弗兰夫人，著名的沙龙女主人。
Marguerite Louise d'Orléans,2,Person,"Marguerite Louise d'Orl谷ans | Orleans, Margherite d'","[OCR Fix] 乱码修复 ""Orl谷ans"" -> ""Orléans""。托斯卡纳大公夫人。 | 托斯卡纳大公夫人。"
Marche,2,Place,Marche | Marches,"""Marche"" 的英语复数形式，标准化为 Marche。 | 意大利马尔凯大区。"
Marcantonio Chiarini,2,Person,"Chiarini, Marcantonio | Marc'Antonio Chiarini",[Reconstruction] 博洛尼亚画家 (Quadraturista)。 | [Validation] 博洛尼亚画家 (Quadraturista)。
Macerata,2,Place,Macerata | Municipality of Macerata,[Category Fix] 马切拉塔市政府。 | [Validation] 城市。
Ludovico Ludovisi,2,Person,"Ludovico Ludovisi | Ludovisi, Ludovico (nephew to Pope Gregory XV)",[Validation] 枢机主教/收藏家。 | [Validation] 枢机主教。
Ludovico Gimignani,2,Person,"Gimignani, Lodovico | Ludovico Gimignani",[Reconstruction] 罗马画家。 | [Validation] 罗马画家。
Alessandro Farnese (Cardinal),2,Person,"Alessandro Farnese (cardinal) | Farnese, Cardinal Alessandro",[Reconstruction] 可能是指教皇保罗三世之前的身份，或其孙子 Alessandro Farnese il Giovane。需结合语境。通常指 il Giovane (著名赞助人)。 | [Validation] 法尔内塞枢机。
Niccolò Circignani,2,Person,"Niccol辰 Circignani | Pomarance, Niccol辰 Circignani dalle","[OCR Fix] ""Niccol辰"" -> ""Niccolò""。别名 Il Pomarancio。 | [OCR Fix] ""辰"" -> ""ò""。别名 Il Pomarancio。"
Niccolò Machiavelli,2,Person,Machiavelli | Niccol辰 Machiavelli,"[Disambiguation] 马基雅维利。 | [OCR Fix] ""辰"" -> ""ò""。马基雅维利。"
Niccolò Maria Pallavicini,2,Person,"Marchese Niccolo Maria Pallavicini | Pallavicini, Marchese Niccol辰 Maria","[OCR Fix] ""辰"" -> ""ò""。 | 罗马重要的艺术赞助人（Maratti 的赞助者）。"
Paola Zambelli,2,Person,"Paola Zambelli | Zambelli, Dr Paola",现代哲学史学家。 | 科学史学家。
Palma il Giovane,2,Person,"Jacopo Palma il Giovane | Palma, Jacopo (il Giovane)",[Validation] 威尼斯画家。 | 威尼斯画家小帕尔马。
Palazzo Pitti,2,Place,Palazzo Pitti | Pitti Palace,[Category Fix] 原文误标为 Man-Made Object。 | 佛罗伦萨皮蒂宫。
Palazzo Pamphilj (Piazza Navona),2,Place,Palazzo Pamphilj | Pamfili palace (Piazza Navona),[Category Fix] 原文误标为 Man-Made Object。 | 罗马纳沃纳广场的潘菲利宫。
Palazzo Medici Riccardi,2,Place,Palazzo Medici Riccardi | Riccardi palace,[Category Fix] 佛罗伦萨宫殿。 | 佛罗伦萨美第奇-里卡迪宫。
Palazzo Manin,2,Place,Manin palace | Palazzo Manin,[Category Fix] 原文误标为 Work。 | 威尼斯宫殿（现为意大利银行）。
Palazzo Gondi,2,Place,Gondi palace | Palazzo Gondi,[Validation] 佛罗伦萨宫殿。 | 佛罗伦萨宫殿。
Palazzo Foscarini (Venice),2,Place,Marco Foscarini's palace | Palazzo Foscarini,nan | 位于威尼斯 Carmini 的宫殿。
Palazzo Farnese,2,Place,Farnese Palace | Palazzo Farnese,[Category Fix] 原文误标为 Work。 | 罗马法尔内塞宫。
Palazzo Colonna,2,Place,Colonna palace | Palazzo Colonna,[Validation] 罗马宫殿。 | 罗马科隆纳宫。
Palazzo Clerici,2,Place,Clerici Palace | Palazzo Clerici,[Validation] 米兰宫殿 (提埃坡罗壁画)。 | 米兰宫殿（提埃坡罗壁画）。
Palazzo Barberini,2,Place,Barberini palace | Palazzo Barberini,[Validation] 罗马宫殿。 | 罗马巴贝里尼宫。
Pacecco De Rosa,2,Person,"Pacecco De Rosa | Rosa, Paceco de",(Francesco De Rosa) 那不勒斯画家。 | 那不勒斯画家。
Owen McSwiny,2,Person,Owen McSwiny | Owen Swiny,[Merge Candidate] 同 Owen McSwiny。 | 剧院经理，卡纳莱托等人的经纪人。
Ottavio Novaroli,2,Person,"Novaroli, P. Octavio | Ottavio Novaroli","17世纪人物（可能是神职人员）。 | [Duplicate] 同 Novaroli, P. Octavio。"
Orazio Riminaldi,2,Person,Orazio Riminaldi | Riminaldi,比萨画家。
Orazio Arrighi Landini,2,Person,"Arrighi-Landini, Orazio | Orazio Arrighi Landini",17世纪人物。 | [Reconstruction] 18世纪作家/翻译家。
Nymphenburg Palace,2,Place,"Munich, Nymphenburg palace | Nymphenburg",宁芬堡。 | 慕尼黑宁芬堡宫。
Agostino Chigi,2,Person,"Agostino Andrea Chigi | Chigi, Agostino 'il Magnifico'",[Disambiguation] 基吉家族成员。 | [Reconstruction] 文艺复兴银行家。
Nicolas Malebranche,2,Person,"Malebranche, Nicolas de | Nicolas Malebranche",[Validation] 哲学家。 | 哲学家。
Niccolò Sagredo,2,Person,"Nicol辰 Sagredo | Sagredo, Niccol辰","[OCR Fix] ""辰"" -> ""ò""。威尼斯总督。"
Ludovico Ariosto,2,Person,Ariosto | Ludovico Ariosto,[Disambiguation] 诗人 (疯狂的奥兰多)。 | [Validation] 诗人 (Orlando Furioso)。
Alessandro Marchesini,2,Person,"Alessandro Marchesini | Marchesini, Alessandro",[Category Fix] 原文误标为 Man-Made Object。维罗纳画家。 | [Validation] 画家。
Paolo Gerolamo Piola,2,Person,"Paolo Gerolamo Piola | Piola, Paolo Girolamo",热那亚画家。
Alessandro Zen,2,Person,"Alessandro Zen | Zen, Procurator Alessandro",[Validation] 威尼斯贵族。 | 威尼斯检察官。
Jerónimo Nadal,2,Person,"Jeroni Nadal | Nadal, Jerome",(Jerome Nadal) 耶稣会神学家，反宗教改革图像学重要人物。 | [Validation] 耶稣会士 (Nadal's Gospel Illustrations)。
Jerome Bankes,2,Person,Jerome Bankes | Jerome Bankes (1635/36-1686),[Category Fix] 原文误标为 Man-Made Object。 | [Validation] 英国旅行者/赞助人。
Jennifer Montagu,2,Person,"Jennifer Ellis Rachel Montagu | Montagu, Jennifer",[Validation] 艺术史学家。 | 现代著名艺术史学家（巴洛克雕塑权威）。
Jean-Honoré Fragonard,2,Person,"Fragonard, Jean Honoré | Jean-Honoré Fragonard",[Reconstruction] 法国画家。 | [Validation] 法国画家。
Jean-François de La Harpe,2,Person,Jean-Fran?ois de La Harpe | La Harpe,"[Disambiguation] 评论家。 | [OCR Fix] ""?"" -> ""ç""。"
Jean-François Millet,2,Person,"Jean-Fran?ois Millet | Millet, Jean-Fran?ois","[OCR Fix] ""?"" -> ""ç""。 | [OCR Fix] 乱码修复 ""?ois"" -> ""çois""。"
Jean-Baptiste-Siméon Chardin,2,Person,"Chardin, Jean Baptiste Siméon | Jean-Baptiste-Siméon Chardin",[Validation] 法国画家。
Jean-Baptiste Théodon,2,Person,"Jean-Baptiste Théodon | Th谷odon, Jean Baptiste","[OCR Fix] ""Th谷odon"" -> ""Théodon""。法国雕塑家。 | [Validation] 法国雕塑家。"
Jean-Antoine Watteau,2,Person,"Jean Antoine Watteau | Watteau, Antoine",[Validation] 法国画家。 | 华托。
Jean-Antoine Nollet,2,Person,"Jean-Antoine Nollet | Nollet, Abb谷","[OCR Fix] ""Abb谷"" -> ""Abbé""。物理学家。 | [Validation] 物理学家 (Abbé Nollet)。"
Jan Baptist de Wael,2,Person,"Jan Baptist de Wael | Wael, Jean-Baptiste de",[Validation] 佛兰芒画家/版画家。 | 佛兰芒画家。
Lothar Franz von Schönborn,2,Person,"Lothar Franz von Sch?nborn | Sch?nborn, Lothar Franz von","[OCR Fix] ""?"" -> ""ö""。美因茨选帝侯。 | [OCR Fix] 美因茨选帝侯。"
James Francis Edward Stuart,2,Person,"James Francis Edward Stuart, Prince of Wales | James III of England",[Disambiguation] 老僭王 (自称詹姆斯三世)。 | [Validation] 老僭王。
James Byam Shaw,2,Person,James Byam Shaw | John Byam Lister Shaw,[Correction] 可能是混淆了 John Byam Shaw (画家) 和 James Byam Shaw (艺术史学家)。上下文多为艺术史，James Byam Shaw 是威尼斯画派素描专家。 | [Validation] 艺术史学家 (Venetian drawings)。
"James Brydges, 1st Duke of Chandos",2,Person,"Chandos, James Brydges, 1st Duke of | James Brydges",[Validation] 贵族/赞助人。
Jakob Christoph Le Blon,2,Person,"Jacob Christoph Le Blon | LeBlon, Jakob Christoffel",[Validation] 德国/法国版画家。 | [Validation] 版画家 (彩色版画发明者)。
Jacques-Bénigne Bossuet,2,Person,"Bossuet, Jacques-Bénigne | Jacques Bénigne Bossuet",[Reconstruction] 法国主教/布道家。 | [Validation] 主教/作家。
Jacques and Guillaume Courtois,2,Group,"Cortese, Giacomo and Guglielmo | Courtois, Jacques and Guillaume",[Split Required] 兄弟画家 (Il Borgognone)。 | [Validation] 兄弟画家。
Jacques Duyvelant,2,Person,"Duyvelant, Jacques | Jacques Duyvdant",[Reconstruction] 佛兰芒画家。 | [Validation] 17世纪佛兰芒画家 (Antwerp)。
Jacques Courtois (Il Borgognone),2,Person,"Borgognone, Giacomo (Jacques Courtois) | Jacques Courtois",[Disambiguation] 雅克·库尔图瓦 (战斗画家)。 | [Validation] 画家。
Jacopo Pedozzi,2,Person,"Jacopo Pedozzi | Pedozzi, Padre Jacopo",[Validation] 灰泥艺术家 (18世纪)。 | nan
Jacopo Morelli,2,Person,"Iacopo Morelli | Morelli, Jacopo",[Validation] 圣马可图书馆馆长。 | 著名的圣马可图书馆馆长。
Johann Bernhard Fischer von Erlach,2,Person,"Erlach, Fischer von | Johann Bernhard Fischer von Erlach",[Reconstruction] 奥地利巴洛克建筑师。 | [Validation] 奥地利建筑师。
Johann Christian Brand,2,Person,"Brand, Johannes Christian | Johann Christian Brand",[Disambiguation] 奥地利风景画家。 | [Validation] 奥地利画家。
Johann Christoph Pepusch,2,Person,"Johann Christoph Pepusch | Pepusch, Dr",[Validation] 作曲家。 | 德国作曲家，活跃于伦敦。
Johann Christoph Storer,2,Person,"Johann Christoph Storer | Storer, Cristoforo",(Cristoforo Storer) 康斯坦茨出生的画家，活跃于米兰。 | [Validation] 画家。
Lodovico Furlanetto,2,Person,"Furnaletto, Lodovico | Lodovico Furlanetto","[OCR Fix] ""Furnaletto"" -> ""Furlanetto"" (威尼斯出版商)。 | [Validation] 威尼斯出版商。"
"Leopold II, Holy Roman Emperor",2,Person,"Leopold I, Grand Duke of Tuscany | Leopold II, Holy Roman Emperor",[Disambiguation] 托斯卡纳大公 Leopold I 继位为神圣罗马皇帝 Leopold II。 | [Validation] 同上。
Leonardo Valmarana,2,Person,"Leonardo, Conte di Valmarana | Valmarana, Leonardo",[Validation] 贵族。 | 帕拉迪奥的赞助人。
Leonaert Bramer,2,Person,"Bramer, Leonard | Leonaert Bramer",[Disambiguation] 荷兰画家。 | [Validation] 荷兰画家。
Laurent Cars,2,Person,"Cars, Laurence | Laurent Cars","[OCR Fix] ""Laurence"" -> ""Laurent""。法国版画家。 | [Validation] 法国版画家。"
Karl Philipp von Greiffenclau,2,Person,"Greiffenklau, Karl Philip von | Karl Philipp von Greiffenklau",[Validation] 维尔茨堡采邑主教 (Tiepolo赞助人)。 | [Validation] 维尔茨堡采邑主教。
Karl Ludwig von Pöllnitz,2,Person,"Karl Ludwig Freiherr von P?llnitz | P?llnitz, Baron de","[OCR Fix] ""?"" -> ""ö""。回忆录作者。 | [OCR Fix] ""P?llnitz"" -> ""Pöllnitz""。普鲁士回忆录作家。"
Jusepe de Ribera,2,Person,"Jusepe de Ribera | Ribera, Giuseppe",[Validation] 西班牙画家。 | 别名 Spagnoletto。
Jules Mazarin,2,Person,"Mazarin, Cardinal | Mazzarini, Giulio",马萨林枢机。 | 马萨林枢机的意大利原名。
Judith with the Head of Holofernes,2,Work,Judith with the Head of Holofernes | Judith with the head of Holofernes,[Validation] 绘画主题。
Joseph Addison,2,Person,Addison | Joseph Addison,[Category Fix] 误标为 Work (E22)。英国作家/政治家。 | [Validation] 作家/政治家。
Alessandro Peretti di Montalto,2,Person,"Alessandro Peretti di Montalto | Peretti-Montalto, Cardinal Alessandro",[Validation] 枢机主教。 | 红衣主教蒙塔尔托。
John Skippe,2,Person,"John Henry Skippe | Skippe, John",[Validation] 业余艺术家/收藏家 (Chiaroscuro woodcuts)。 | 英国业余艺术家/鉴赏家。
"John Sheffield, 1st Duke of Buckingham and Normanby",2,Person,"Buckingham, John Sheffield, Duke of | John Sheffield, 1st Duke of Buckingham and Normanby",[Full Name] 诗人/政治家。 | [Validation] 政治家/作家。
"John Hervey, 2nd Baron Hervey",2,Person,"Hervey, Lord | John Hervey, 2nd Baron Hervey",[Disambiguation] 赫维勋爵 (回忆录作者)。 | [Validation] 赫维勋爵。
John Closterman,2,Person,"Clostermann, John | John Closterman",[Validation] 肖像画家。
"John Cecil, 5th Earl of Exeter",2,Person,"Exeter, 5th Lord | John Cecil, 5th Earl of Exeter",[Disambiguation] 伯利勋爵/Grand Tour 旅行者。 | [Validation] 伯利勋爵/大旅行者。
"Johann Wilhelm, Elector Palatinate",2,Person,"Johann Wilhelm | Johann Wilhelm, Elector Palatinate",[Disambiguation] 普法尔茨选帝侯。 | [Validation] 同上。
Johann Philipp Franz von Schönborn,2,Person,"Johann Philipp Franz von Sch?nborn | Sch?nborn, Johann Philip Franz","[OCR Fix] | [OCR Fix] ""?"" -> ""ö""。维尔茨堡采邑主教。"
Alessandro Vassalli,2,Person,"Alessandro Vasalli | Vassalli, Alessandro","[OCR Fix] 疑似 ""Vassalli"" (17世纪出版商/刻工)。 | nan"
Johann Joachim Winckelmann,2,Person,"Johann Joachim Winckelmann | Winckelmann, J. J.",[Validation] 艺术史之父。 | 温克尔曼。
Paolo Emilio Sfondrati,2,Person,"Paolo Emilio Sfondrati | Sfondrato, Cardinal",红衣主教 Sfondrati（圣塞西莉亚赞助人）。 | 红衣主教（圣塞西莉亚遗骸发现者）。
Paolo Giordano I Orsini,2,Person,"Bracciano, Paolo Giordano I Orsini, Duke of | Paolo Giordano I Orsini",[Reconstruction] 第一代布拉恰诺公爵。 | 布拉恰诺公爵。
Anne of Austria,2,Person,"Anne d’Autriche | Anne of Austria, Regent of France",[Category Fix] 原文误标为 Place。 | [Validation] 奥地利的安妮 (法国王后)。
Sebastiano Marcotti,2,Person,Sebastiano Marcotti,17世纪版画家（活跃于那不勒斯）。 | [Duplicate]
Taddeo Barberini,2,Person,"Barberini, Taddeo (nephew to Urban VIII) | Taddeo Barberini",[Reconstruction] 帕莱斯特里纳亲王。 | 帕莱斯特里纳亲王（教皇乌尔班八世的侄子）。
Stendhal,2,Person,Marie-Henri Beyle | Stendhal,作家司汤达的原名，以写意大利游记和艺术评论著称。 | 司汤达。
Statue of Field Marshal Schulenburg,2,Work,"Statue of Field Marshal Schulenburg | Statue of Schulenburg, Kerkyra",[Category Fix] 科拉迪尼的作品（科孚岛）。 | [Duplicate] 同 3582。
Stanisław August Poniatowski,2,Person,"Stanis?aw August Poniatowski | Stanislas Poniatowski, King of Poland","[Duplicate] 同上。 | [OCR Fix] ""?"" -> ""ł""。波兰国王。"
Stamperia Albrizzi,2,Organization,Nella Stamperia Albrizziana | Stamperia Albrizziana,[Category Fix] 威尼斯印刷厂。 | [Category Fix] 威尼斯著名出版商 Albrizzi。
St. Peter's Basilica,2,Place,St. Peter's Basilica | Vatican Papal Basilica,圣彼得大教堂。 | 梵蒂冈圣彼得大教堂。
