Refined_Formal_Name,Count,Refined_Category,Original_Entry,Status/Notes
Sixtus V,2,Person,"Peretti, Felice (Pope Sixtus V) | Sixtus V",教皇西克斯图斯五世。
"Sir Thomas Isham, 3rd Baronet",2,Person,"Sir Thomas Isham (1656每1681), 3rd Bt Isham | Thomas Isham","17世纪日记作者/旅行者。 | [OCR Fix] ""每"" -> ""–""。[Category Fix] 原文误标为 Man-Made Object。"
Secondo Lancellotti,2,Person,"Lancellotti, Abate | Secondo Lancellotti",17世纪作家（《L'Hoggidì》）。 | [Reconstruction] 作家 (L'Hoggidì)。
Sebastiano Resta,2,Person,"Resta, Padre Sebastiano | Sebastiano Resta",著名的素描收藏家（Padre Resta）。 | 著名的绘画收藏家/鉴赏家。
Sebastiano Bombelli,2,Person,Bombelli Sebastiano | Sebastiano Bombelli,[Reconstruction] 威尼斯肖像画家。 | 威尼斯肖像画家。
Sant'Agnese in Agone,2,Place,S. Agnese | Sant'Agnese in Agone,罗马教堂。 | 罗马教堂（Piazza Navona）。
Accademia Albrizziana,2,Organization,Accademia Albrizziana | Accbremia Albrizziana,"[OCR Fix] 修正 ""Accbremia"" 为 ""Accademia""。同 Row 23。 | [Validation] 威尼斯文学学会 (Albrizzi)。"
Scuola Grande dei Carmini,2,Place,Scuola Grande dei Carmini | Scuola del Carmine,[Duplicate] 同上。 | 威尼斯卡尔米尼大会堂。
Scipione Borghese,2,Person,Cardinal Scipione Borghese | Scipione Borghese,[Category Fix] 原文误标为 Work。 | 红衣主教希皮奥内·博尔盖塞（贝尼尼的赞助人）。
Sassoferrato,2,Place,Sassoferrato | Sassoferrato (Giovan Battista Salvi),(Giovanni Battista Salvi da Sassoferrato) 画家。 | 马尔凯大区城镇。
"Sarah Churchill, Duchess of Marlborough",2,Person,"Marlborough, Duchess of | Sarah Churchill",著名的马尔伯勒公爵夫人。 | 马尔伯勒公爵夫人。
Santissima Annunziata,2,Place,Annunziata | Santissima Annunziata,[Disambiguation] 指代教堂或广场。 | 佛罗伦萨著名教堂。
Accademia degli Umoristi,2,Organization,Accademia degli Umoristi | Umoristi,[Validation] 罗马文学学会。 | 罗马文学学院。
Santa Maria della Vittoria,2,Place,S.Maria della Vittoria | Santa Maria della Vittoria,罗马教堂。 | 罗马教堂（贝尼尼《圣特蕾莎》所在地）。
Santa Maria della Salute,2,Place,Santa Maria della Salute | chiesa della Salute,威尼斯安康圣母堂。
Accademia dei Lincei,2,Organization,Accademia dei Lincei | Lincean Academy,[Category Fix] 原文误标为 Place。 | [Validation] 猞猁之眼国家科学院。
Teofilo Gallaccini,2,Person,"Gallacini, Teofilo | Teofilo Gallaccini","[OCR Fix] ""Gallacini"" -> ""Gallaccini"" (锡耶纳学者/建筑理论家)。 | 锡耶纳学者/建筑理论家。"
The Abduction of Helen,2,Work,Rape of Helen | The Abduction of Helen,[Category Fix] 圭多·雷尼等人的画作。 | [Category Fix] 常见神话主题。
The Banquet of Cleopatra,2,Work,The Banquet of Antony and Cleopatra | The Banquet of Cleopatra,[Category Fix] | [Category Fix] 提埃坡罗的著名画作。
The Baptism of Christ,2,Work,The Baptism | The Baptism of Christ,[Category Fix] | [Category Fix] 耶稣受洗图。
Vivant Denon,2,Person,"Non, Dominique De (Dominique Vivant-Denon) | Vivant-Denon, Dominique",卢浮宫首任馆长。
Vitruvius,2,Person,Marcus Vitruvius Pollio | Vitruvius,建筑师维特鲁威。 | 维特鲁威。
Virgin by Bassanino,2,Work,"Bassanino, Virgilio | Virgil Bassanino","[Correction] 依据指令修正：原文 ""Virgilio Bassanino"" 极大概率为 ""Virgin by Bassanino"" (Jacopo Bassano作品) 的误读。 | [OCR/Typo Fix] 极可能是 ""Virgin [painted] by Bassanino"" (Jacopo Bassano 或家族成员) 的误读。"
Virgil,2,Person,Publius Vergilius Maro | Virgil,维吉尔。 | 诗人维吉尔。
Vincenzo Giustiniani,2,Person,"Giustiniani, Marchese Vincenzo | Vincenzo Giustiniani",[Category Fix] 原文误标为 Man-Made Object。著名收藏家/侯爵。 | 著名的银行家与艺术收藏家（Caravaggio赞助人）。
Villa di Pratolino,2,Place,Pratolino | Villa di Pratolino,美第奇别墅。 | 美第奇别墅（Demidoff）。
Villa Valmarana ai Nani,2,Place,Villa Valmarana | Villa Valmarana ai Nani,[Duplicate] 同上。 | 维琴察别墅（提埃坡罗壁画）。
Villa Contarini,2,Place,Contarini villa | Villa Contarini,[Category Fix] 原文误标为 Work。 | 威尼托别墅（Piazzola sul Brenta）。
Victor Amadeus II of Sardinia,2,Person,"Savoy, Vittorio Amedeo II, Duke of | Victor Amadeus II of Savoy",萨伏伊公爵/撒丁国王。 | 萨伏伊公爵，撒丁国王。
Urban VIII,2,Person,"Barberini, Maffeo (Pope Urban VIII) | Urban VIII",[Disambiguation] 教皇乌尔班八世。 | 教皇乌尔班八世。
Toussaint Dubreuil,2,Person,"Breuil, Toussaint du | Toussaint Dubreuil",[Reconstruction] 法国枫丹白露画派画家。 | 法国枫丹白露画派画家。
"Thomas Pelham-Holles, 1st Duke of Newcastle",2,Person,"Newcastle, Thomas Pelham-Holles, Duke of | Thomas Pelham-Holles, 1st Duke of Newcastle-upon-Tyne",[Category Fix] 原文误标为 Man-Made Object。 | nan
"Thomas Coke, 1st Earl of Leicester",2,Person,"Coke, Mr | Thomas Coke, 1st Earl of Leicester","[Context] ""Mr Coke"" 常指 Thomas Coke (Holkham Hall 建造者/收藏家)。 | 霍尔克姆大厅的主人。"
The Triumph of the Name of Jesus,2,Work,The Triumph of the Name of Jesus | Triumph of the Name of Jesus,[Category Fix] Il Gesù 教堂的天顶画（Baciccio）。 | [Category Fix] 罗马耶稣会教堂天顶画。
The Triumph of Venice,2,Work,The Triumph of Venice | Triumph of Venice,[Category Fix] 提埃坡罗 (Palazzo Pisani) 或 Pompeo Batoni 的画作。 | [Category Fix] 提埃坡罗或 Veronese 的画作。
The Sacrifice of Isaac,2,Work,Sacrifice of Abraham | The Sacrifice of Isaac,[Category Fix] 以撒的献祭。 | [Category Fix] 常见的艺术主题。
The Sacrifice of Iphigenia,2,Work,Sacrifice of Iphigenia | The Sacrifice of Iphigenia,[Category Fix] 伊菲革涅亚的献祭。 | [Category Fix] 提埃坡罗等人的画作。
Abraham Nicolas Amelot de la Houssaye,2,Person,"Abraham Nicolas Amelot de la Houssaye | Amelot de la Houssaye, A. N.",[Reconstruction] 名字倒装复原。 | [Validation] 历史学家。
The Nativity,2,Work,Nativity | The Nativity,[Category Fix] 耶稣诞生图。 | [Category Fix] 耶稣降生。
The Judgment of Paris,2,Work,The Judgement of Paris | The Judgment of Paris,[Category Fix] 同上。 | [Category Fix] 帕里斯的裁判。
The Deposition from the Cross,2,Work,The Deposition from the Cross | The Deposition from the Cross/Deposition,[Category Fix]
Accademia dell'Arcadia,2,Group,"Arcadia, Society of | Society of Arcadia",[Category Fix] 阿卡迪亚学院。 | [Disambiguation] 阿卡迪亚学院。
San Zaccaria,2,Place,"San Zaccaria | San Zaccaria, Venice",[Duplicate] 同上。 | 威尼斯教堂。
Paolo Giordano II Orsini,2,Person,"Bracciano, Paolo Giordona II Orsini, Duke of | Paolo Giordano Orsini II","[OCR Fix] ""Giordona"" -> ""Giordano""。 | 艺术赞助人，诗人。"
Pierre-Jean Grosley,2,Person,"Grosley, Pierre Jean | Pierre-Jean Grosley",[Validation] 法国作家 (Nouveaux mémoires sur l'Italie)。 | 法国旅行作家。
Pietro de' Pietri,2,Person,"Pietri, Pietro di | Pietro da Pietri",nan | 罗马晚期巴洛克画家。
Pietro da Cortona,2,Person,"Berrettini, Pietro (Pietro da Cortona) | Pietro da Cortona",[Disambiguation] 皮耶特罗·达·科尔托纳。 | 皮埃特罗·达·科尔托纳。
Pietro Santi Bartoli,2,Person,"Bartoli, Pietro Santo | Pietro Santi Bartoli","[OCR Fix] 修正 ""Santo"" 为 ""Santi""。版画家/古物学家。 | 罗马版画家/古董学者。"
Pietro Paltronieri,2,Person,"Paltronieri, Pietro ('il Mirandolese') | Pietro Paltronieri",别名 Il Mirandolese。 | 别名 Il Mirandolese，透视画法画家。
Pietro Ottoboni,2,Person,"Ottoboni, Cardinal Pietro (nephew...) | Pietro Ottoboni",著名的红衣主教与艺术赞助人。 | 著名的艺术赞助人，亚历山大八世的侄孙。
Pietro Francavilla,2,Person,"Francavilla, Pietro | Pietro Francavilla",(Pierre de Francqueville) 佛罗伦萨雕塑家。 | [Category Fix] 原文误标为 Man-Made Object。雕塑家。
Pietro Antonio Zaguri,2,Person,"Pietro Antonio Zaguri | Zaguri, Pietro",威尼斯参议员/赞助人。 | 威尼斯贵族/赞助人。
Pietro Aldobrandini,2,Person,"Aldobrandini, Cardinal Pietro (nephew of Pope Clement VIII) | Pietro Aldobrandini",[Disambiguation] 彼得罗·阿尔多布兰迪尼枢机。 | 红衣主教，重要赞助人。
Pieter Mulier the Younger,2,Person,"Mulier, Pietro | Pieter Mulier","别名 ""Il Tempesta""。 | 别名 Il Tempesta。"
Pierre-Étienne Monnot,2,Person,"Monnot, Pierre | Pierre-谷tienne Monnot","[OCR Fix] ""谷tienne"" -> ""Étienne""。雕塑家。 | 法国雕塑家，主要活跃于罗马。"
Pierre Louis Maupertuis,2,Person,"Maupertuis, Pierre-Louis | Pierre-Louis Moreau de Maupertuis",数学家/天文学家。 | 法国数学家和哲学家。
San Giovanni Decollato,2,Place,S.Giovanni Decollato | San Giovanni Decollato,罗马或威尼斯教堂。 | 罗马教堂。
Piazza della Santissima Annunziata,2,Place,Annunciation Square | piazza della Santissima Annunziata,[Standardization] 佛罗伦萨广场。 | 佛罗伦萨广场。
Philips Wouwerman,2,Person,"Philips Wouwerman | Wouwermans, Philips",荷兰画家。
"Philippe II, Duke of Orléans",2,Person,"Orleans, Philippe d', Regent | Philippe II, Duke of Orl谷ans","[OCR Fix] ""Orl谷ans"" -> ""Orléans""。 | 法国摄政王。"
Peter Anthony Motteux,2,Person,"Motteux, Pierre | Peter Anthony Motteux",(Pierre Antoine Motteux) 作家/翻译家。 | (Pierre Antoine Motteux) 法国出生的英国剧作家/翻译家。
Pedro Berruguete,2,Person,"Berreguete, Pedro | Pedro Berruguete","[OCR Fix] ""Berreguete"" -> ""Berruguete""。 | 西班牙画家。"
Paul V,2,Person,"Borghese, Camillo (Pope Paul V) | Paul V, Pope",[Disambiguation] 教皇保罗五世。 | 教皇保罗五世（Borghese）。
Paul Fréart de Chantelou,2,Person,"Chantelou, Paul-Fréart de | Paul Fr谷art de Chantelou","[OCR Fix] ""Fr谷art"" -> ""Fréart""。贝尼尼在法国的向导。 | [Reconstruction] 贝尼尼在法国的接待者/日记作者。"
Parmigianino,2,Person,"Girolamo Francesco Maria Mazzola | Parmigianino, Francesco",[Category Fix] 原文误标为 Place。帕尔米贾尼诺。 | [Disambiguation] 帕尔米贾尼诺。
Paolo Veronese,2,Person,Paolo Veronese | Paul Varnish,[Disambiguation] 18世纪英国对 Veronese 的滑稽音译/戏称。 | 委罗内塞。
Paolo Giordano Orsini,2,Person,"Bracciano, Duke of | Orsini, Paolo Giordano",[Context] 通常指 Orsini 公爵 (需视具体年代)。 | 奥尔西尼家族成员。
Pietà,2,Work,Pieta | Piet角,"[OCR Fix/Ambiguous] ""Pieta"" -> ""Pietà""。指圣母怜子主题艺术品（如米开朗基罗或提香）。 | [OCR Fix] ""Piet角"" -> ""Pietà""。圣母怜子图。"
Pompeo Batoni,2,Person,"Batoni, Pompeo | Pompeo Girolamo Batoni",[Reconstruction] 罗马肖像画家。 | 庞贝奥·巴托尼。
Portrait of Donna Olimpia Maidalchini,2,Work,Portrait of Donna Olimpia | Portrait of Donna Olimpia Maidalchini,[Category Fix] | [Category Fix] 可能是 Bacciccio 的画作或半身像。
Portrait of Innocent X,2,Work,Portrait of Innocent X | Portrait of Pope Innocent X Pamphili,[Category Fix] 同上。 | [Category Fix] 委拉斯开兹的著名画作。
Adriaen van der Werff,2,Person,"Adriaen van der Werff | Werff, Adrian van der",[Validation] 荷兰画家。 | 荷兰画家。
San Carlo alle Quattro Fontane,2,Place,Quattro Fontane | Saint Charles at the Four Fountains,罗马教堂。 | 罗马教堂（波罗米尼）或喷泉群。
San Canciano,2,Place,S. Canciano | San Canciano,威尼斯教堂。
Samuel von Pufendorf,2,Person,"Pufendorf, Samuel | Samuel von Pufendorf",德国法学家。 | 法学家/历史学家。
Saint Stanislaus Kostka,2,Person,St Stanislas Kostka | Stanislaus Kostka,[Category Fix] 原文误标为 Man-Made Object。 | 圣斯坦尼斯劳斯·科斯特卡。
Saint Philip Neri,2,Person,"Philip Neri, St | Saint Philip Neri",圣菲利波·内里。
Saint Lawrence,2,Person,St Lawrence | St.Lawrenc,"[Category Fix] 原文误标为 Place。圣劳伦斯。 | [OCR Fix] ""St.Lawrenc"" -> ""St. Lawrence""。"
Saint John the Baptist,2,Person,John the Baptist | St. John the Baptist,[Category Fix] 原文误标为 Man-Made Object。施洗约翰。 | [Validation] 圣徒。
Saint Ignatius of Loyola,2,Person,"Ignatius of Loyola | Ignatius, St",[Validation] 同上。 | [Validation] 耶稣会创始人。
Saint Francis Xavier,2,Person,"Francis Xavier | Xavier, St Francis",[Disambiguation] 圣方济各·沙勿略。 | 圣方济各·沙勿略。
Saint Andrew,2,Person,Andrew the Apostle | Saint Andrew,[Disambiguation] 圣安德烈。 | 圣安德烈（人物）。
Romulus and Remus,2,Person,Romulm and Remus | Romulus and Remus,"[Category Fix] 鲁本斯、Carracci 等人的画作主题。 | [OCR Fix] ""Romulm"" -> ""Romulus""。"
Roberto d'Oderisio,2,Person,"Oderisi, Roberto | Roberto d'Oderisio",14世纪那不勒斯画家。 | 那不勒斯画家。
"Robert Harley, 1st Earl of Oxford",2,Person,"Oxford, Robert Harley, Earl of | Robert Harley",nan
"Robert Benson, 1st Baron Bingley",2,Person,"Bingley, Lord | Robert Benson, 1st Baron Bingley",[Disambiguation] 英国贵族 (Yorkshire)。 | nan
"Richard Boyle, 3rd Earl of Burlington",2,Person,"Burlington, Lord | Richard Boyle, 3rd Earl of Burlington",[Disambiguation] 建筑赞助人 (Palladianism)。 | 帕拉迪奥主义建筑的重要推动者。
Rembrandt,2,Person,Rembrandt | Rembrandt Harmenszoon van Rijn,伦勃朗。 | 伦勃朗全名。
Raphael,2,Person,Raffaello Sanzio da Urbino | Raphael,拉斐尔。
Raffaello Marchesi,2,Person,"Marchesi, Raffaelo | Raffaelo Marchesi",[Category Fix] 原文误标为 Man-Made Object。人物。 | nan
Quirinal Hill,2,Place,Quirinal | Quirinal Hill,nan | 罗马奎里纳尔山。
Prospero Pesci,2,Person,"Gasparo Prospero Pesci | Pesci, Prospero","18世纪博洛尼亚画家。 | [OCR Fix] ""Gasparo Prospero"" -> ""Prospero""? Prospero Pesci 是罗马画家。Gasparo 可能是误加。"
Jacopo Guarana,2,Person,"Guarana, Giacomo | Jacopo Guarana",[Validation] 威尼斯画家。
Jacopo Facciolati,2,Person,"Facciolati, Abate | Jacopo Facciolati",[Reconstruction] 帕多瓦学者/语言学家。 | [Validation] 帕多瓦语文学家。
Isabella de' Medici,2,Person,"Isabella de' Medici | Medici, Isabella de' (Duchess of Bracciano)",[Validation] 美第奇家族成员。 | nan
Congregazione dei Virtuosi al Pantheon,2,Organization,"Congregazione dei Virtuosi | Virtuosi, Congregazione dei",[Category Fix] 万神殿艺术家协会。 | [Validation] 罗马艺术家行会。
Decio Azzolino,2,Person,"Azzolini, Cardinal | Decio Azzolino",[Disambiguation] 德西奥·阿佐利诺枢机。 | [Validation] 枢机主教。
David Teniers the Younger,2,Person,"David Teniers the Younger | Teniers, David",[Validation] 佛兰芒画家。 | 佛兰芒画家。
Dante Alighieri,2,Person,Dante | Dante Alighieri,[Validation] 但丁。
Daniele Dolfin IV,2,Person,"Daniele Dolfin IV | Dolfin, Daniele IV",[Validation] 威尼斯贵族/大使。 | [Validation] 威尼斯贵族。
Daniele Concina,2,Person,"Concina, Padre Daniele | Daniele Concina",[Validation] 多明我会神学家。
Cosimo III de' Medici,2,Person,"Cosimo III de' Mediciy | Medici, Cosimo III de'","[OCR Fix] ""Mediciy"" -> ""Medici""。 | 托斯卡纳大公。"
Correggio,2,Person,Antonio da Correggio | Correggio,[Disambiguation] 柯雷乔。 | [Validation] 画家。
Cornelis van Poelenburgh,2,Person,"Cornelius van Poelenburgh | Poelenburgh, Cornelius",[Validation] 荷兰画家。 | 荷兰风景画家。
Cornelis de Wael,2,Person,"Cornelis de Wael | Wael, Cornelius de",[Validation] 佛兰芒画家 (居热那亚/罗马)。 | 佛兰芒画家。
Cornelis Schut,2,Person,"Cornelis Schut | Schut, Corneille",[Validation] 佛兰芒画家。 | 佛兰芒画家。
Clement XIII,2,Person,"Clement XIII, Pope | Rezzonico, Carlo (Pope Clement XIII)",[Validation] 教皇。 | 教皇克莱门特十三世。
"Charles V, Holy Roman Emperor",2,Person,"Charles V | Charles V, Holy Roman Emperor",[Disambiguation] 查理五世。 | [Validation] 神圣罗马帝国皇帝。
Clement XII,2,Person,"Clement XII, Pope | Corsini, Lorenzo (Pope Clement XII)",[Disambiguation] 教皇克莱门特十二世。 | [Validation] 教皇。
Clement XI,2,Person,"Albani, Gianfrancesco (Pope Clement XI) | Clement XI",[Disambiguation] 教皇克莱门特十一世。 | [Validation] 教皇。
Clement X,2,Person,"Altieri, Emilio (Pope Clement X) | Pope Clement X",[Disambiguation] 教皇克莱门特十世。 | nan
Clement VIII,2,Person,"Aldobrandini, Ippolito (Pope Clement VIII) | Clement VIII, Pope",[Disambiguation] 教皇克莱门特八世。 | [Validation] 教皇。
Clement IX,2,Person,"Clement IX | Rospigliosi, Giulio (Pope Clement IX)",[Validation] 教皇。 | 教皇克莱门特九世。
Andrea Ferreri,2,Person,"Andrea Ferreri | Ferrerio, Andrea","[OCR Fix] ""Ferrerio"" -> ""Ferreri"" (巴洛克雕塑家)。 | [Validation] 巴洛克雕塑家。"
Claudio Acquaviva,2,Person,"Aquaviva, Claudio | Claudio Acquaviva",[Reconstruction] 耶稣会总会长。 | [Validation] 耶稣会总会长。
"Christina, Queen of Sweden",2,Person,"Christina of Sweden | Christina, Queen of Sweden",[Validation] 同上。 | [Validation] 瑞典女王。
Charles de Brosses,2,Person,"Brosses, Président Charles De | Charles de Brosses",[Reconstruction] 法国作家 (Lettres familières)。 | [Validation] 法国作家。
Charles XII of Sweden,2,Person,Carl XII | Charles XII of Sweden,[Disambiguation] 瑞典国王查理十二世。 | [Validation] 瑞典国王。
Diego Velázquez,2,Person,Diego Velázquez | Velasquez,[Validation] 西班牙画家。 | 委拉斯开兹。
Dirk Helmbreker,2,Person,"Helmbrecker, Theodor | Theodor Helm Breaker",[OCR Fix] 名字被错误拆分（Helm Breaker -> Helmbreker），佛兰芒画家。 | [Reconstruction] 佛兰芒画家。
Domenichino,2,Person,Domenichino (Domenico Zampieri) | Domenico Zampieri,[Validation] 博洛尼亚画家。 | [Validation] 多梅尼基诺。
Domenico Cerato,2,Person,"Cerato, Abate | Domenico Cerato",[Disambiguation] 帕多瓦建筑师 (Abate Cerato)。 | [Validation] 建筑师。
Ferdinando d'Adda,2,Person,"Adda, Cardinal d' | Ferdinando d'Adda",[Disambiguation] 费迪南多·达达枢机主教。 | [Validation] 枢机主教。
Ferdinando Galiani,2,Person,"Ferdinando Galiani | Galiani, Abate",[Reconstruction] 经济学家。 | [Validation] 经济学家/作家 (Abbé Galiani)。
Ferdinand van den Eynde,2,Person,"Ferdinand van den Eynde | den Einden, Ferdinand van",[Validation] 佛兰芒/罗马收藏家 (Duquesnoy墓碑)。 | 佛罗伦萨/那不勒斯收藏家。
Felice Boscarati,2,Person,"Boscarati, Felice | Felice Boscaratti",[Reconstruction] 维罗纳画家。 | [Validation] 维罗纳画家。
Federico da Montefeltro,2,Person,"Federico da Montefeltre | Montefeltre, Federigo da","[OCR Fix] ""Montefeltre"" -> ""Montefeltro""。乌尔比诺公爵。 | 乌尔比诺公爵。"
Federico Zuccari,2,Person,"Federico Zuccari | Zuccari, Federigo",[Validation] 风格主义画家/理论家。 | 风格主义画家。
Federico Bencovich,2,Person,"Bencovich, Federico | Federiko Benkovi?","[OCR Fix] ""Federiko Benkovi?"" -> ""Federico Bencovich"" (Dalmatian painter)。 | [Reconstruction] 达尔马提亚/威尼斯画家。"
Everhard Jabach,2,Person,"Everhard Jabach | Jabach, Everard",[Validation] 收藏家 (路易十四赞助)。 | [Validation] 收藏家。
Et in Arcadia ego,2,Work,Et in Arcadia ego | The Arcadian Shepherds (after...),[Category Fix] 普桑画作的临摹/版画。 | [Validation] 普桑/Guercino画作标题。
Ercole Procaccini the Elder,2,Person,"Ercole Procaccini the Elder | Procaccini, Ercole",[Validation] 画家。 | 米兰画家（或指 Younger）。
Ercole Graziani,2,Person,"Ercole Graziani the Younger | Graziani, Ercole",[Validation] 博洛尼亚画家。
Enea Silvio Caprara,2,Person,"Aeneas de Caprara | Caprara, Marshal",[Disambiguation] 奥地利元帅。 | [Disambiguation] 奥地利陆军元帅 (Enea Silvio Caprara)。
"Emily Temple, Viscountess Palmerston",2,Person,"Emily Temple | Palmerston, Lady",19世纪英国贵族。 | [Disambiguation] 帕默斯顿夫人。
Ellis Waterhouse,2,Person,"Ellis Waterhouse | Waterhouse, E. K.",[Validation] 艺术史学家。 | 英国艺术史学家。
Eleonora Zambeccari,2,Person,"Eleonora Zambeccari | Zambeccari, Marchesa Eleonora",[Category Fix] 原文误标为 Man-Made Object。博洛尼亚贵族。 | [Validation] 博洛尼亚贵族。
El Escorial,2,Place,El Escorial | L'Escorial,[Validation] 埃斯科里亚尔。 | [Validation] 西班牙修道院/皇宫。
Ecstasy of Saint Teresa,2,Work,Ecstasy of Saint Teresa | St Teresa wounded by Christ,[Category Fix] 圣特蕾莎的狂喜（或相关主题）。 | [Validation] 贝尼尼雕塑。
Domenico Passignano,2,Person,"Domenico Passignano | Passignani, Domenico",(Domenico Cresti) 佛罗伦萨画家。 | [Validation] 画家。
Domenico Maria Fratta,2,Person,"Domenico Maria Fratta | Fratta, D. M.",[Reconstruction] 博洛尼亚版画家。 | [Validation] 博洛尼亚版画家。
Domenico Ginnasi,2,Person,"Domenico Ginnasi | Ginnasi, Cardinal",[Disambiguation] 枢机主教。 | [Validation] 枢机主教。
Domenico Fetti,2,Person,"Domenico Fetti | Feti, Domenico",[Reconstruction] 画家。 | [Validation] 画家。
"Charles Watson-Wentworth, 2nd Marquess of Rockingham",2,Person,"Charles Watson-Wentworth | Rockingham, Lord",[Validation] 英国首相。 | nan
"Charles Mordaunt, 3rd Earl of Peterborough",2,Person,"Charles Mordaunt | Peterborough, 3rd Earl of",[Disambiguation] 英国将领/贵族。 | nan
Ippolito Bentivoglio,2,Person,"Bentivoglio, Ippotilo | Ippolito Bentivoglio","[OCR Fix] 修正 ""Ippotilo"" 为 ""Ippolito""。 | [Validation] 费拉拉贵族/剧作家。"
Archduke Leopold Wilhelm of Austria,2,Person,"Archduke Leopold Wilhelm of Austria | Leopold Wilhelm, Archduke",[Category Fix] 原文误标为 Man-Made Object。 | [Validation] 著名艺术收藏家。
Bartolomeo Nazari,2,Person,"Bartolomeo Nazari | Nazari, Bartolommeo",[Validation] 威尼斯肖像画家。 | 威尼斯肖像画家。
Bartolomeo Letterini,2,Person,"Bartolomeo Letterini | Letterini, Bartolommeo",[Reconstruction] 威尼斯画家。 | [Validation] 威尼斯画家。
Barberini Chapel (Sant'Andrea della Valle),2,Place,Barberini Chapel in S. Andrea della Valle | Barberini Chapelin S.Andreadella Valle),[OCR Fix] 标点和空格修复。 | [Validation] 罗马礼拜堂。
Balthasar Neumann,2,Person,"Johann Balthasar Neumann | Neumann, Balthasar",[Validation] 德国巴洛克建筑师。 | 德国巴洛克建筑师。
Baldassare Longhena,2,Person,"Longhena | Longhena, Baldassare",[Disambiguation] 建筑师。 | [Validation] 建筑师。
Augustus III of Poland,2,Person,"Augustus III of Poland | Augustus III of Poland (Frederick Augustus II, Elector of Saxony)",[Validation] 同上。 | [Validation] 奥古斯都三世。
